latency,n_trades,total_pnl,mean_pnl_per_market,t_stat,hit_rate_trade
0.0,110,26.66,2.423636363636364,3.4456720640266196,0.7454545454545455
0.5,110,26.66,2.423636363636364,3.4456720640266196,0.7454545454545455
1.0,110,22.22,2.0200000000000005,2.9993672409128087,0.6727272727272727
2.0,110,23.43,2.13,3.254376349675729,0.6909090909090909
5.0,110,24.22,2.201818181818182,3.315608291003456,0.7090909090909091
10.0,110,24.55,2.2318181818181824,3.41235557047427,0.7
