vol_window,n_trades,total_pnl,mean_pnl_per_market,t_stat
15,110,26.66,2.423636363636364,3.4456720640266196
30,110,26.66,2.423636363636364,3.4456720640266196
60,110,26.66,2.423636363636364,3.4456720640266196
120,110,26.66,2.423636363636364,3.4456720640266196
