buffer,tau_max,min_tau,exit_rule,cooldown,n_trades,n_markets,total_pnl,mean_pnl_per_market,std_pnl_per_market,t_stat,hit_rate_market,hit_rate_trade,avg_trades_per_market,avg_hold_time
0.01,300,0,expiry,30,110,11,24.86,2.2600000000000002,2.2232048938413214,3.3715165196726993,0.8181818181818182,0.7090909090909091,10.0,163.6909090909091
0.01,300,30,expiry,30,107,11,24.43,2.220909090909091,2.2511794888256005,3.272027923405359,0.8181818181818182,0.7102803738317757,9.727272727272727,167.51401869158877
0.01,300,60,expiry,30,96,11,21.77,1.979090909090909,2.0513968633370507,3.1997231197771625,0.8181818181818182,0.6979166666666666,8.727272727272727,182.5
0.01,420,0,expiry,30,150,11,32.050000000000004,2.9136363636363636,3.362942975214634,2.8735065283408714,0.8181818181818182,0.7133333333333334,13.636363636363637,219.68
0.01,420,30,expiry,30,146,11,31.0,2.8181818181818183,3.380292348841497,2.765101570316559,0.8181818181818182,0.7054794520547946,13.272727272727273,224.95205479452054
0.01,420,60,expiry,30,135,11,28.959999999999997,2.6327272727272724,3.230733944196244,2.7027197812614556,0.8181818181818182,0.7037037037037037,12.272727272727273,240.06666666666666
0.01,600,0,expiry,30,210,11,38.63000000000001,3.5118181818181813,5.215131480953895,2.23338247244125,0.8181818181818182,0.6952380952380952,19.09090909090909,306.5761904761905
0.01,600,30,expiry,30,206,11,37.58,3.416363636363636,5.22573109282763,2.1682700712985388,0.8181818181818182,0.6893203883495146,18.727272727272727,312.0
0.01,600,60,expiry,30,195,11,35.540000000000006,3.2309090909090914,5.093928649962531,2.103624515112229,0.8181818181818182,0.6871794871794872,17.727272727272727,327.374358974359
0.015,300,0,expiry,30,110,11,25.11,2.282727272727273,2.2102266440756293,3.425417878587742,0.8181818181818182,0.7181818181818181,10.0,163.47272727272727
0.015,300,30,expiry,30,107,11,24.64,2.24,2.2367834048025306,3.321394246061107,0.8181818181818182,0.719626168224299,9.727272727272727,167.30841121495328
0.015,300,60,expiry,30,96,11,21.910000000000004,1.991818181818182,2.041895287137997,3.2352851790740926,0.8181818181818182,0.7083333333333334,8.727272727272727,182.29166666666666
0.015,420,0,expiry,30,150,11,31.450000000000003,2.8590909090909093,3.4005924617497305,2.788494032622643,0.8181818181818182,0.72,13.636363636363637,219.41333333333333
0.015,420,30,expiry,30,146,11,30.300000000000004,2.7545454545454544,3.413887413598649,2.6760676712170803,0.8181818181818182,0.7123287671232876,13.272727272727273,224.6986301369863
0.015,420,60,expiry,30,135,11,28.190000000000012,2.562727272727273,3.2650607679156325,2.6031995750796337,0.8181818181818182,0.7111111111111111,12.272727272727273,239.8148148148148
0.015,600,0,expiry,30,210,11,38.93000000000001,3.5390909090909095,5.209878030329413,2.252996437935836,0.8181818181818182,0.7047619047619048,19.09090909090909,306.4
0.015,600,30,expiry,30,206,11,37.78,3.4345454545454546,5.219805290691146,2.18228419716392,0.8181818181818182,0.6990291262135923,18.727272727272727,311.8349514563107
0.015,600,60,expiry,30,195,11,35.670000000000016,3.242727272727274,5.0900198249301365,2.112940623219763,0.8181818181818182,0.6974358974358974,17.727272727272727,327.2153846153846
0.02,300,0,expiry,30,110,11,26.61,2.4190909090909094,2.335557554612836,3.4352469128273286,0.8181818181818182,0.7454545454545455,10.0,163.27272727272728
0.02,300,30,expiry,30,107,11,25.64,2.3309090909090915,2.312165454916471,3.343511104940862,0.8181818181818182,0.7383177570093458,9.727272727272727,167.19626168224298
0.02,300,60,expiry,30,96,11,22.910000000000004,2.0827272727272725,2.11231669457537,3.2701653696228417,0.8181818181818182,0.7291666666666666,8.727272727272727,182.26041666666666
0.02,420,0,expiry,30,150,11,32.95,2.9954545454545456,3.4584457886061006,2.8726194976274164,0.8181818181818182,0.74,13.636363636363637,219.3
0.02,420,30,expiry,30,145,11,31.300000000000004,2.8454545454545452,3.448858836300389,2.736355859495674,0.8181818181818182,0.7310344827586207,13.181818181818182,226.01379310344828
0.02,420,60,expiry,30,135,11,29.19000000000001,2.653636363636364,3.3074137108238295,2.661026686629018,0.8181818181818182,0.725925925925926,12.272727272727273,239.7925925925926
0.02,600,0,expiry,30,210,11,39.760000000000005,3.614545454545455,5.27774831464397,2.2714404601577867,0.7272727272727273,0.7095238095238096,19.09090909090909,305.31904761904764
0.02,600,30,expiry,30,205,11,38.11,3.4645454545454544,5.277170385038488,2.1774163999775356,0.7272727272727273,0.7024390243902439,18.636363636363637,312.2487804878049
0.02,600,60,expiry,30,195,11,35.99000000000001,3.271818181818183,5.15021129310598,2.106980213778662,0.7272727272727273,0.6974358974358974,17.727272727272727,326.2974358974359
0.025,300,0,expiry,30,110,11,26.66,2.423636363636364,2.3328663601984263,3.4456720640266196,0.8181818181818182,0.7454545454545455,10.0,163.14545454545456
0.025,300,30,expiry,30,107,11,25.69,2.3354545454545454,2.3096379094410606,3.3536973092363476,0.8181818181818182,0.7383177570093458,9.727272727272727,167.0841121495327
0.025,300,60,expiry,30,96,11,22.960000000000004,2.087272727272728,2.1101378671029574,3.2806863378124875,0.8181818181818182,0.7291666666666666,8.727272727272727,182.15625
0.025,420,0,expiry,30,150,11,33.0,3.0,3.4550137481636742,2.8798364048057747,0.8181818181818182,0.74,13.636363636363637,219.20666666666668
0.025,420,30,expiry,30,145,11,31.35,2.85,3.4456349197208924,2.7432914028159905,0.8181818181818182,0.7310344827586207,13.181818181818182,225.93103448275863
0.025,420,60,expiry,30,135,11,29.240000000000006,2.658181818181818,3.3043420470097167,2.668062685408755,0.8181818181818182,0.725925925925926,12.272727272727273,239.71851851851852
0.025,600,0,expiry,30,210,11,37.97000000000001,3.4518181818181817,5.446271785693068,2.102059207491573,0.7272727272727273,0.7047619047619048,19.09090909090909,304.95238095238096
0.025,600,30,expiry,30,205,11,36.32000000000001,3.3018181818181813,5.440779021761164,2.0127433941471864,0.7272727272727273,0.697560975609756,18.636363636363637,311.9219512195122
