source_timestamp,received_timestamp,data_timestamp_raw,asset,mid,bid,ask,source,is_observed
2026-01-07T03:02:43+00:00,2026-01-07T03:03:48.367542+00:00,,ETH,26854659750,,,dom,1
2026-01-07T03:02:44+00:00,2026-01-07T03:03:48.973596+00:00,,ETH,26854659750,,,dom,1
2026-01-07T03:02:45+00:00,2026-01-07T03:03:49.993312+00:00,,ETH,26854659750,,,dom,1
2026-01-07T03:02:46+00:00,2026-01-07T03:03:50.980394+00:00,,ETH,26854659750,,,dom,1
2026-01-07T03:02:47+00:00,2026-01-07T03:03:51.990823+00:00,,ETH,26854659750,,,dom,1
2026-01-07T03:02:48+00:00,2026-01-07T03:03:53.498914+00:00,,ETH,26854659750,,,dom,1
2026-01-07T03:02:49+00:00,2026-01-07T03:03:55.629795+00:00,,ETH,26854659750,,,dom,1
2026-01-07T03:02:50+00:00,2026-01-07T03:03:55.648015+00:00,,ETH,26854659750,,,dom,1
2026-01-07T03:02:51+00:00,2026-01-07T03:03:56.654723+00:00,,ETH,26854659750,,,dom,1
2026-01-07T03:02:52+00:00,2026-01-07T03:03:57.668084+00:00,,ETH,26854659750,,,dom,1
2026-01-07T03:02:53+00:00,2026-01-07T03:03:58.678864+00:00,,ETH,26854659750,,,dom,1
2026-01-07T03:02:54+00:00,2026-01-07T03:03:59.738371+00:00,,ETH,26854659750,,,dom,1
2026-01-07T03:02:55+00:00,2026-01-07T03:04:00.728285+00:00,,ETH,26854659750,,,dom,1
2026-01-07T03:02:56+00:00,2026-01-07T03:04:01.750278+00:00,,ETH,26854659750,,,dom,1
2026-01-07T03:02:57+00:00,2026-01-07T03:04:02.767549+00:00,,ETH,26854659750,,,dom,1
2026-01-07T03:02:58+00:00,2026-01-07T03:04:03.766770+00:00,,ETH,26854659750,,,dom,1
2026-01-07T03:02:59+00:00,2026-01-07T03:04:05.004154+00:00,,ETH,26854659750,,,dom,1
2026-01-07T03:03:00+00:00,2026-01-07T03:04:06.890945+00:00,,ETH,26854659750,,,dom,1
2026-01-07T03:03:01+00:00,2026-01-07T03:04:07.150914+00:00,,ETH,26854659750,,,dom,1
2026-01-07T03:03:02+00:00,2026-01-07T03:04:08.197068+00:00,,ETH,26854659750,,,dom,1
2026-01-07T03:03:03+00:00,2026-01-07T03:04:09.241731+00:00,,ETH,26854659750,,,dom,1
2026-01-07T03:03:04+00:00,2026-01-07T03:04:10.218659+00:00,,ETH,26854659750,,,dom,1
2026-01-07T03:03:05+00:00,2026-01-07T03:04:11.748357+00:00,,ETH,26854659750,,,dom,1
2026-01-07T03:03:06+00:00,2026-01-07T03:04:13.066740+00:00,,ETH,26854659750,,,dom,1
2026-01-07T03:03:07+00:00,2026-01-07T03:04:14.103229+00:00,,ETH,26854659750,,,dom,1
2026-01-07T03:03:08+00:00,2026-01-07T03:04:15.061025+00:00,,ETH,26854659750,,,dom,1
