timestamp,data_timestamp_raw,asset,mid,bid,ask,source,is_observed,collected_at
2026-01-06T03:10:26+00:00,03:10:26,BTC,93742.18,93738.8,93744.53,dom,1,2026-01-06T03:11:31.154326+00:00
2026-01-06T03:10:27+00:00,03:10:26,BTC,93742.03,93738.61,93744.42,dom,1,2026-01-06T03:11:32.211336+00:00
2026-01-06T03:10:28+00:00,03:10:26,BTC,93743.89,93741.09,93746.87,dom,1,2026-01-06T03:11:33.307499+00:00
2026-01-06T03:10:29+00:00,03:10:26,BTC,93743.89,93741.09,93746.87,dom,1,2026-01-06T03:11:34.292186+00:00
2026-01-06T03:10:30+00:00,03:10:26,BTC,93739.27,93736.1,93741.9,dom,1,2026-01-06T03:11:35.285970+00:00
2026-01-06T03:10:31+00:00,03:10:26,BTC,93742.86,93739.48,93745.68,dom,1,2026-01-06T03:11:36.305770+00:00
2026-01-06T03:10:32+00:00,03:10:26,BTC,93742.86,93739.48,93745.68,dom,1,2026-01-06T03:11:37.291708+00:00
2026-01-06T03:10:33+00:00,03:10:26,BTC,93741.34,93738.01,93744.15,dom,1,2026-01-06T03:11:38.291573+00:00
2026-01-06T03:10:34+00:00,03:10:26,BTC,93741.34,93738.01,93744.15,dom,1,2026-01-06T03:11:39.317911+00:00
2026-01-06T03:10:35+00:00,03:10:26,BTC,93743.68,93739.4,93746.64,dom,1,2026-01-06T03:11:40.307548+00:00
2026-01-06T03:10:36+00:00,03:10:26,BTC,93743.29,93739.4,93746.13,dom,1,2026-01-06T03:11:41.303368+00:00
2026-01-06T03:10:37+00:00,03:10:26,BTC,93742.35,93738.48,93745.18,dom,1,2026-01-06T03:11:42.346289+00:00
2026-01-06T03:10:38+00:00,03:10:26,BTC,93743.65,93740.3,93748.29,dom,1,2026-01-06T03:11:43.555957+00:00
2026-01-06T03:10:39+00:00,03:10:26,BTC,93742.92,93739.14,93745.72,dom,1,2026-01-06T03:11:44.571259+00:00
2026-01-06T03:10:40+00:00,03:10:26,BTC,93742.92,93739.13,93745.72,dom,1,2026-01-06T03:11:45.575510+00:00
2026-01-06T03:10:41+00:00,03:10:26,BTC,93743.61,93739.9,93746.37,dom,1,2026-01-06T03:11:46.576289+00:00
2026-01-06T03:10:42+00:00,03:10:26,BTC,93743.61,93739.9,93746.37,dom,1,2026-01-06T03:11:47.602613+00:00
2026-01-06T03:10:43+00:00,03:10:26,BTC,93742.82,93739.13,93745.78,dom,1,2026-01-06T03:11:48.604059+00:00
2026-01-06T03:10:44+00:00,03:10:26,BTC,93742.82,93739.13,93745.78,dom,1,2026-01-06T03:11:49.610117+00:00
2026-01-06T03:10:45+00:00,03:10:26,BTC,93742.26,93738.56,93745.18,dom,1,2026-01-06T03:11:50.623740+00:00
2026-01-06T03:10:46+00:00,03:10:26,BTC,93743.47,93739.79,93746.33,dom,1,2026-01-06T03:11:51.631055+00:00
2026-01-06T03:10:47+00:00,03:10:26,BTC,93743.47,93739.79,93746.33,dom,1,2026-01-06T03:11:52.641298+00:00
2026-01-06T03:10:48+00:00,03:10:26,BTC,93742.41,93738.51,93745.35,dom,1,2026-01-06T03:11:53.657592+00:00
2026-01-06T03:10:49+00:00,03:10:26,BTC,93742.41,93738.51,93745.35,dom,1,2026-01-06T03:11:54.655610+00:00
2026-01-06T03:10:50+00:00,03:10:26,BTC,93742.46,93738.68,93745.34,dom,1,2026-01-06T03:11:55.704143+00:00
2026-01-06T03:10:51+00:00,03:10:26,BTC,93742.28,93738.51,93745.19,dom,1,2026-01-06T03:11:56.667004+00:00
2026-01-06T03:10:52+00:00,03:10:26,BTC,93743.12,93739.17,93745.99,dom,1,2026-01-06T03:11:57.725274+00:00
2026-01-06T03:10:53+00:00,03:10:26,BTC,93736.26,93734.12,93736.81,dom,1,2026-01-06T03:11:58.764847+00:00
2026-01-06T03:10:54+00:00,03:10:26,BTC,93733.87,93729.82,93736.14,dom,1,2026-01-06T03:11:59.747248+00:00
2026-01-06T03:10:55+00:00,03:10:26,BTC,93733.87,93729.82,93736.14,dom,1,2026-01-06T03:12:00.726026+00:00
2026-01-06T03:10:56+00:00,03:10:26,BTC,93727.67,93724.37,93732.26,dom,1,2026-01-06T03:12:01.778327+00:00
2026-01-06T03:10:57+00:00,03:10:26,BTC,93727.22,93722.92,93731.45,dom,1,2026-01-06T03:12:02.786213+00:00
2026-01-06T03:10:58+00:00,03:10:26,BTC,93726.81,93722.92,93731.45,dom,1,2026-01-06T03:12:03.804414+00:00
2026-01-06T03:10:59+00:00,03:10:26,BTC,93726.67,93722.21,93731.2,dom,1,2026-01-06T03:12:04.802195+00:00
2026-01-06T03:11:00+00:00,03:10:26,BTC,93725.09,93721.29,93725.58,dom,1,2026-01-06T03:12:05.822249+00:00
2026-01-06T03:11:01+00:00,03:10:26,BTC,93724.86,93721.1,93725.34,dom,1,2026-01-06T03:12:06.842495+00:00
2026-01-06T03:11:02+00:00,03:10:26,BTC,93726.11,93721.91,93726.51,dom,1,2026-01-06T03:12:07.842054+00:00
2026-01-06T03:11:03+00:00,03:10:26,BTC,93718.85,93716.05,93719.41,dom,1,2026-01-06T03:12:08.858609+00:00
2026-01-06T03:11:04+00:00,03:10:26,BTC,93716.74,93714.91,93717.26,dom,1,2026-01-06T03:12:09.861888+00:00
2026-01-06T03:11:05+00:00,03:10:26,BTC,93716.61,93714.83,93717.06,dom,1,2026-01-06T03:12:10.883669+00:00
2026-01-06T03:11:06+00:00,03:10:26,BTC,93717.38,93715.24,93717.89,dom,1,2026-01-06T03:12:11.851646+00:00
2026-01-06T03:11:07+00:00,03:10:26,BTC,93717.38,93715.24,93717.89,dom,1,2026-01-06T03:12:12.871231+00:00
2026-01-06T03:11:08+00:00,03:10:26,BTC,93717.65,93715.5,93718.09,dom,1,2026-01-06T03:12:13.873322+00:00
2026-01-06T03:11:09+00:00,03:10:26,BTC,93717.65,93715.5,93718.09,dom,1,2026-01-06T03:12:14.915543+00:00
2026-01-06T03:11:10+00:00,03:10:26,BTC,93716.68,93714.56,93717.15,dom,1,2026-01-06T03:12:17.890639+00:00
2026-01-06T03:11:11+00:00,03:10:26,BTC,93715.99,93713.81,93716.53,dom,1,2026-01-06T03:12:18.940838+00:00
2026-01-06T03:11:12+00:00,03:10:26,BTC,93707.17,93703.71,93707.56,dom,1,2026-01-06T03:12:29.572857+00:00
2026-01-06T03:11:13+00:00,03:11:13,BTC,93710.67,93708.02,93715.51,dom,1,2026-01-06T03:13:19.520260+00:00
2026-01-06T03:11:15+00:00,03:11:15,BTC,93711.67,93709,93716.14,dom,1,2026-01-06T03:13:21.037897+00:00
2026-01-06T03:11:16+00:00,03:11:16,BTC,93711.46,93709.01,93716.04,dom,1,2026-01-06T03:13:22.953733+00:00
2026-01-06T03:11:17+00:00,03:11:17,BTC,93711.66,93709.01,93716.3,dom,1,2026-01-06T03:13:23.308338+00:00
2026-01-06T03:11:18+00:00,03:11:18,BTC,93711.87,93709.01,93716.55,dom,1,2026-01-06T03:13:24.382174+00:00
2026-01-06T03:11:19+00:00,03:11:19,BTC,93711.93,93708.99,93716.59,dom,1,2026-01-06T03:13:25.609691+00:00
2026-01-06T03:11:21+00:00,03:11:21,BTC,93711.9,93708.98,93716.56,dom,1,2026-01-06T03:13:27.004204+00:00
2026-01-06T03:11:22+00:00,03:11:22,BTC,93706.25,93703.6,93710.89,dom,1,2026-01-06T03:13:28.035843+00:00
2026-01-06T03:11:23+00:00,03:11:23,BTC,93706.36,93703.85,93711.23,dom,1,2026-01-06T03:13:29.063534+00:00
2026-01-06T03:11:24+00:00,03:11:24,BTC,93711.34,93708.95,93715.63,dom,1,2026-01-06T03:13:30.191458+00:00
2026-01-06T03:11:26+00:00,03:11:26,BTC,93718.18,93714.81,93721.55,dom,1,2026-01-06T03:13:31.856271+00:00
2026-01-06T03:11:27+00:00,03:11:27,BTC,93713.56,93712.64,93717.51,dom,1,2026-01-06T03:13:33.061632+00:00
2026-01-06T03:11:28+00:00,03:11:28,BTC,93713.56,93712.64,93717.53,dom,1,2026-01-06T03:13:34.220751+00:00
2026-01-06T03:11:30+00:00,03:11:30,BTC,93715.21,93713.7,93718.33,dom,1,2026-01-06T03:13:36.711835+00:00
2026-01-06T03:11:31+00:00,03:11:31,BTC,93715.28,93713.74,93719.4,dom,1,2026-01-06T03:13:37.677461+00:00
2026-01-06T03:11:32+00:00,03:11:32,BTC,93715.45,93713.91,93719.36,dom,1,2026-01-06T03:13:38.688793+00:00
2026-01-06T03:11:34+00:00,03:11:34,BTC,93712.89,93711.45,93716.9,dom,1,2026-01-06T03:13:40.378077+00:00
2026-01-06T03:11:35+00:00,03:11:35,BTC,93711.47,93709.41,93715.4,dom,1,2026-01-06T03:13:41.394999+00:00
2026-01-06T03:11:36+00:00,03:11:36,BTC,93710.09,93707.38,93713.9,dom,1,2026-01-06T03:13:42.370668+00:00
2026-01-06T03:11:37+00:00,03:11:37,BTC,93710.51,93707.86,93714.24,dom,1,2026-01-06T03:13:43.758865+00:00
2026-01-06T03:11:38+00:00,03:11:38,BTC,93711.9,93709.59,93715.72,dom,1,2026-01-06T03:13:45.384431+00:00
2026-01-06T03:11:39+00:00,03:11:39,BTC,93712.89,93710.84,93716.85,dom,1,2026-01-06T03:13:45.513497+00:00
2026-01-06T03:11:40+00:00,03:11:40,BTC,93712.91,93710.83,93716.88,dom,1,2026-01-06T03:13:47.416749+00:00
2026-01-06T03:11:41+00:00,03:11:41,BTC,93712.89,93710.59,93716.87,dom,1,2026-01-06T03:13:48.337671+00:00
2026-01-06T03:11:42+00:00,03:11:42,BTC,93708.53,93705.25,93710.7,dom,1,2026-01-06T03:13:49.092766+00:00
2026-01-06T03:11:43+00:00,03:11:43,BTC,93704.21,93700.12,93704.57,dom,1,2026-01-06T03:13:49.975309+00:00
2026-01-06T03:11:44+00:00,03:11:44,BTC,93704.53,93700.36,93704.95,dom,1,2026-01-06T03:13:51.027866+00:00
2026-01-06T03:11:45+00:00,03:11:45,BTC,93705.26,93701.01,93705.71,dom,1,2026-01-06T03:13:52.040781+00:00
2026-01-06T03:11:47+00:00,03:11:47,BTC,93705.66,93701.42,93706.1,dom,1,2026-01-06T03:13:53.074106+00:00
2026-01-06T03:11:48+00:00,03:11:48,BTC,93705.52,93702.16,93705.97,dom,1,2026-01-06T03:13:54.152860+00:00
2026-01-06T03:11:49+00:00,03:11:49,BTC,93701.32,93699.06,93701.9,dom,1,2026-01-06T03:13:55.258034+00:00
2026-01-06T03:11:50+00:00,03:11:50,BTC,93700.55,93696.03,93705.16,dom,1,2026-01-06T03:13:56.243857+00:00
2026-01-06T03:11:51+00:00,03:11:51,BTC,93700.55,93696.03,93705.16,dom,1,2026-01-06T03:13:57.277560+00:00
2026-01-06T03:11:52+00:00,03:11:52,BTC,93700.59,93695.77,93704.41,dom,1,2026-01-06T03:13:58.496811+00:00
2026-01-06T03:11:53+00:00,03:11:53,BTC,93700.59,93695.77,93704.41,dom,1,2026-01-06T03:13:59.411530+00:00
2026-01-06T03:11:54+00:00,03:11:54,BTC,93696.77,93692.19,93698.9,dom,1,2026-01-06T03:14:01.133863+00:00
2026-01-06T03:11:55+00:00,03:11:55,BTC,93696.02,93691.53,93697.63,dom,1,2026-01-06T03:14:01.838696+00:00
2026-01-06T03:11:56+00:00,03:11:56,BTC,93696.22,93691.6,93698.92,dom,1,2026-01-06T03:14:02.858832+00:00
2026-01-06T03:11:57+00:00,03:11:57,BTC,93696.22,93691.6,93698.91,dom,1,2026-01-06T03:14:03.945093+00:00
2026-01-06T03:11:59+00:00,03:11:59,BTC,93693.71,93688.99,93694.42,dom,1,2026-01-06T03:14:05.802832+00:00
2026-01-06T03:12:00+00:00,03:12:00,BTC,93693.71,93688.99,93694.42,dom,1,2026-01-06T03:14:06.354119+00:00
2026-01-06T03:12:01+00:00,03:12:01,BTC,93695.71,93690.98,93699.13,dom,1,2026-01-06T03:14:07.557971+00:00
2026-01-06T03:12:02+00:00,03:12:02,BTC,93695.7,93690.99,93699.06,dom,1,2026-01-06T03:14:08.883739+00:00
2026-01-06T03:12:03+00:00,03:12:03,BTC,93694.81,93689.86,93696.75,dom,1,2026-01-06T03:14:09.915031+00:00
2026-01-06T03:12:04+00:00,03:12:04,BTC,93694.77,93689.86,93696.63,dom,1,2026-01-06T03:14:10.930578+00:00
2026-01-06T03:12:05+00:00,03:12:05,BTC,93695.5,93690.97,93698.73,dom,1,2026-01-06T03:14:12.153019+00:00
2026-01-06T03:12:07+00:00,03:12:07,BTC,93696.26,93691.83,93699.85,dom,1,2026-01-06T03:14:13.517892+00:00
2026-01-06T03:12:08+00:00,03:12:08,BTC,93697.15,93692.71,93700.94,dom,1,2026-01-06T03:14:14.526809+00:00
2026-01-06T03:12:09+00:00,03:12:09,BTC,93694.22,93689.73,93697.29,dom,1,2026-01-06T03:14:15.567163+00:00
2026-01-06T03:12:10+00:00,03:12:10,BTC,93697.97,93693.93,93702.78,dom,1,2026-01-06T03:14:16.582574+00:00
2026-01-06T03:12:11+00:00,03:12:11,BTC,93697.99,93693.93,93703.52,dom,1,2026-01-06T03:14:17.584795+00:00
2026-01-06T03:12:12+00:00,03:12:12,BTC,93698,93694.14,93703.52,dom,1,2026-01-06T03:14:19.075117+00:00
2026-01-06T03:12:13+00:00,03:12:13,BTC,93698,93694.14,93703.52,dom,1,2026-01-06T03:14:19.623765+00:00
2026-01-06T03:12:14+00:00,03:12:14,BTC,93698.02,93694.29,93703.52,dom,1,2026-01-06T03:14:20.680263+00:00
2026-01-06T03:12:15+00:00,03:12:15,BTC,93695.41,93691.22,93699.23,dom,1,2026-01-06T03:14:21.939685+00:00
2026-01-06T03:12:16+00:00,03:12:16,BTC,93698.03,93694.29,93703.52,dom,1,2026-01-06T03:14:22.797730+00:00
2026-01-06T03:12:17+00:00,03:12:17,BTC,93698.01,93694.28,93703.51,dom,1,2026-01-06T03:14:23.792895+00:00
2026-01-06T03:12:18+00:00,03:12:18,BTC,93697.96,93694.31,93703.5,dom,1,2026-01-06T03:14:24.911801+00:00
2026-01-06T03:12:19+00:00,03:12:19,BTC,93697.97,93694.31,93703.52,dom,1,2026-01-06T03:14:25.992339+00:00
