timestamp,collected_at,seconds,up_mid,up_best_bid,up_best_ask,down_mid,down_best_bid,down_best_ask,up_best_bid_size,up_best_ask_size,down_best_bid_size,down_best_ask_size
2026-01-06 05:15:00.830000+00:00,2026-01-06 05:15:00.910770+00:00,0.83,0.48,0.46,0.5,0.52,0.5,0.54,,,,
2026-01-06 05:15:01.838000+00:00,2026-01-06 05:15:01.921402+00:00,1.838,0.4649999999999999,0.46,0.47,0.535,0.53,0.54,,,,
2026-01-06 05:15:02.837000+00:00,2026-01-06 05:15:02.919716+00:00,2.837,0.4649999999999999,0.46,0.47,0.535,0.53,0.54,,,,
2026-01-06 05:15:03.852000+00:00,2026-01-06 05:15:03.936067+00:00,3.852,0.475,0.47,0.48,0.53,0.52,0.54,,,,
2026-01-06 05:15:04.838000+00:00,2026-01-06 05:15:04.929020+00:00,4.838,0.47,0.46,0.48,0.525,0.52,0.53,,,,
2026-01-06 05:15:05.732000+00:00,2026-01-06 05:15:05.929053+00:00,5.732,0.495,0.49,0.5,0.505,0.5,0.51,,,,
2026-01-06 05:15:06.799000+00:00,2026-01-06 05:15:06.930705+00:00,6.799,0.485,0.48,0.49,0.515,0.51,0.52,,,,
2026-01-06 05:15:07.854000+00:00,2026-01-06 05:15:07.935673+00:00,7.854,0.485,0.48,0.49,0.515,0.51,0.52,,,,
2026-01-06 05:15:08.851000+00:00,2026-01-06 05:15:08.933675+00:00,8.851,0.4649999999999999,0.46,0.47,0.535,0.53,0.54,,,,
2026-01-06 05:15:09.862000+00:00,2026-01-06 05:15:09.952760+00:00,9.862,0.4649999999999999,0.46,0.47,0.535,0.53,0.54,,,,
2026-01-06 05:15:10.900000+00:00,2026-01-06 05:15:10.963007+00:00,10.9,0.4649999999999999,0.46,0.47,0.535,0.53,0.54,,,,
2026-01-06 05:15:11.846000+00:00,2026-01-06 05:15:11.971256+00:00,11.846,0.4649999999999999,0.46,0.47,0.54,0.53,0.55,,,,
2026-01-06 05:15:12.898000+00:00,2026-01-06 05:15:12.979419+00:00,12.898,0.4649999999999999,0.46,0.47,0.535,0.53,0.54,,,,
2026-01-06 05:15:13.852000+00:00,2026-01-06 05:15:13.986827+00:00,13.852,0.4649999999999999,0.46,0.47,0.535,0.53,0.54,,,,
2026-01-06 05:15:14.905000+00:00,2026-01-06 05:15:14.988052+00:00,14.905,0.4649999999999999,0.46,0.47,0.535,0.53,0.54,,,,
2026-01-06 05:15:15.890000+00:00,2026-01-06 05:15:15.979024+00:00,15.89,0.47,0.46,0.48,0.53,0.52,0.54,,,,
2026-01-06 05:15:16.892000+00:00,2026-01-06 05:15:16.978652+00:00,16.892,0.47,0.46,0.48,0.53,0.52,0.54,,,,
2026-01-06 05:15:17.911000+00:00,2026-01-06 05:15:17.994884+00:00,17.911,0.4649999999999999,0.46,0.47,0.535,0.53,0.54,,,,
2026-01-06 05:15:18.886000+00:00,2026-01-06 05:15:18.995154+00:00,18.886,0.47,0.46,0.48,0.53,0.52,0.54,,,,
2026-01-06 05:15:19.879000+00:00,2026-01-06 05:15:20.013379+00:00,19.879,0.47,0.46,0.48,0.53,0.52,0.54,,,,
2026-01-06 05:15:20.931000+00:00,2026-01-06 05:15:21.011042+00:00,20.931,0.48,0.47,0.49,0.515,0.51,0.52,,,,
2026-01-06 05:15:21.932000+00:00,2026-01-06 05:15:22.014695+00:00,21.932,0.505,0.5,0.51,0.495,0.49,0.5,,,,
2026-01-06 05:15:22.940000+00:00,2026-01-06 05:15:23.015631+00:00,22.94,0.505,0.5,0.51,0.495,0.49,0.5,,,,
2026-01-06 05:15:23.929000+00:00,2026-01-06 05:15:24.012670+00:00,23.929,0.495,0.49,0.5,0.505,0.5,0.51,,,,
2026-01-06 05:15:24.814000+00:00,2026-01-06 05:15:25.010948+00:00,24.814,0.495,0.49,0.5,0.505,0.5,0.51,,,,
2026-01-06 05:15:25.939000+00:00,2026-01-06 05:15:26.018615+00:00,25.939,0.49,0.48,0.5,0.51,0.5,0.52,,,,
2026-01-06 05:15:26.790000+00:00,2026-01-06 05:15:27.019530+00:00,26.79,0.49,0.48,0.5,0.51,0.5,0.52,,,,
2026-01-06 05:15:27.837000+00:00,2026-01-06 05:15:28.020324+00:00,27.837,0.49,0.48,0.5,0.51,0.5,0.52,,,,
2026-01-06 05:15:28.885000+00:00,2026-01-06 05:15:29.028269+00:00,28.885,0.495,0.49,0.5,0.505,0.5,0.51,,,,
2026-01-06 05:15:29.976000+00:00,2026-01-06 05:15:30.044691+00:00,29.976,0.495,0.49,0.5,0.505,0.5,0.51,,,,
2026-01-06 05:15:30.913000+00:00,2026-01-06 05:15:31.062896+00:00,30.913,0.495,0.49,0.5,0.505,0.5,0.51,,,,
2026-01-06 05:15:31.981000+00:00,2026-01-06 05:15:32.064792+00:00,31.981,0.48,0.47,0.49,0.52,0.51,0.53,,,,
2026-01-06 05:15:32.986000+00:00,2026-01-06 05:15:33.070002+00:00,32.986,0.47,0.46,0.48,0.53,0.52,0.54,,,,
2026-01-06 05:15:33.813000+00:00,2026-01-06 05:15:34.079505+00:00,33.813,0.47,0.46,0.48,0.525,0.52,0.53,,,,
2026-01-06 05:15:34.858000+00:00,2026-01-06 05:15:35.079648+00:00,34.858,0.475,0.47,0.48,0.515,0.51,0.52,,,,
2026-01-06 05:15:36.007000+00:00,2026-01-06 05:15:36.095891+00:00,36.007,0.495,0.49,0.5,0.505,0.5,0.51,,,,
2026-01-06 05:15:37.027000+00:00,2026-01-06 05:15:37.114663+00:00,37.027,0.49,0.48,0.5,0.51,0.5,0.52,,,,
2026-01-06 05:15:38.031000+00:00,2026-01-06 05:15:38.130926+00:00,38.031,0.49,0.48,0.5,0.51,0.5,0.52,,,,
2026-01-06 05:15:39.056000+00:00,2026-01-06 05:15:39.144785+00:00,39.056,0.485,0.48,0.49,0.515,0.51,0.52,,,,
2026-01-06 05:15:40.090000+00:00,2026-01-06 05:15:40.161093+00:00,40.09,0.485,0.48,0.49,0.53,0.52,0.54,,,,
2026-01-06 05:15:41.084000+00:00,2026-01-06 05:15:41.178137+00:00,41.084,0.47,0.46,0.48,0.53,0.52,0.54,,,,
2026-01-06 05:15:42.032000+00:00,2026-01-06 05:15:42.200303+00:00,42.032,0.47,0.46,0.48,0.53,0.52,0.54,,,,
2026-01-06 05:15:43.034000+00:00,2026-01-06 05:15:43.194265+00:00,43.034,0.475,0.47,0.48,0.525,0.52,0.53,,,,
2026-01-06 05:15:44.009000+00:00,2026-01-06 05:15:44.194910+00:00,44.009,0.475,0.47,0.48,0.525,0.52,0.53,,,,
2026-01-06 05:15:45.032000+00:00,2026-01-06 05:15:45.196544+00:00,45.032,0.48,0.47,0.49,0.525,0.52,0.53,,,,
2026-01-06 05:15:46.865000+00:00,2026-01-06 05:15:47.226346+00:00,46.865,0.475,0.47,0.48,0.525,0.52,0.53,,,,
2026-01-06 05:15:48.134000+00:00,2026-01-06 05:15:48.225665+00:00,48.134,0.475,0.47,0.48,0.525,0.52,0.53,,,,
2026-01-06 05:15:49.127000+00:00,2026-01-06 05:15:49.228708+00:00,49.127,0.475,0.47,0.48,0.525,0.52,0.53,,,,
2026-01-06 05:15:50.050000+00:00,2026-01-06 05:15:50.248569+00:00,50.05,0.47,0.46,0.48,0.53,0.52,0.54,,,,
2026-01-06 05:15:51.123000+00:00,2026-01-06 05:15:51.253445+00:00,51.123,0.47,0.46,0.48,0.53,0.52,0.54,,,,
2026-01-06 05:15:52.764000+00:00,2026-01-06 05:15:53.269029+00:00,52.764,0.475,0.47,0.48,0.525,0.52,0.53,,,,
2026-01-06 05:15:54.293000+00:00,2026-01-06 05:15:55.284401+00:00,54.293,0.475,0.47,0.48,0.525,0.52,0.53,,,,
2026-01-06 05:15:56.821000+00:00,2026-01-06 05:15:57.294982+00:00,56.821,0.475,0.47,0.48,0.525,0.52,0.53,,,,
2026-01-06 05:15:58.232000+00:00,2026-01-06 05:15:58.313204+00:00,58.232,0.515,0.51,0.52,0.485,0.48,0.49,,,,
2026-01-06 05:15:59.212000+00:00,2026-01-06 05:15:59.328213+00:00,59.212,0.515,0.51,0.52,0.485,0.48,0.49,,,,
2026-01-06 05:16:00.050000+00:00,2026-01-06 05:16:00.320936+00:00,60.05,0.515,0.51,0.52,0.485,0.48,0.49,,,,
2026-01-06 05:16:01.251000+00:00,2026-01-06 05:16:01.329786+00:00,61.251,0.545,0.54,0.55,0.445,0.44,0.45,,,,
2026-01-06 05:16:02.276000+00:00,2026-01-06 05:16:02.340246+00:00,62.276,0.545,0.54,0.55,0.455,0.45,0.46,,,,
2026-01-06 05:16:03.257000+00:00,2026-01-06 05:16:03.335677+00:00,63.257,0.545,0.54,0.55,0.455,0.45,0.46,,,,
2026-01-06 05:16:04.251000+00:00,2026-01-06 05:16:04.353082+00:00,64.251,0.545,0.54,0.55,0.425,0.4,0.45,,,,
2026-01-06 05:16:05.197000+00:00,2026-01-06 05:16:05.349863+00:00,65.197,0.595,0.59,0.6,0.405,0.4,0.41,,,,
2026-01-06 05:16:06.276000+00:00,2026-01-06 05:16:06.343592+00:00,66.276,0.595,0.59,0.6,0.405,0.4,0.41,,,,
2026-01-06 05:16:07.264000+00:00,2026-01-06 05:16:07.347462+00:00,67.264,0.595,0.59,0.6,0.39,0.38,0.4,,,,
2026-01-06 05:16:08.263000+00:00,2026-01-06 05:16:08.350776+00:00,68.263,0.565,0.56,0.57,0.435,0.43,0.44,,,,
2026-01-06 05:16:09.279000+00:00,2026-01-06 05:16:09.369638+00:00,69.279,0.565,0.56,0.57,0.445,0.43,0.46,,,,
2026-01-06 05:16:10.297000+00:00,2026-01-06 05:16:10.377980+00:00,70.297,0.485,0.48,0.49,0.515,0.51,0.52,,,,
2026-01-06 05:16:11.305000+00:00,2026-01-06 05:16:11.383232+00:00,71.305,0.515,0.51,0.52,0.485,0.48,0.49,,,,
2026-01-06 05:16:12.272000+00:00,2026-01-06 05:16:12.392107+00:00,72.272,0.515,0.51,0.52,0.485,0.48,0.49,,,,
2026-01-06 05:16:13.315000+00:00,2026-01-06 05:16:13.392855+00:00,73.315,0.525,0.52,0.53,0.475,0.47,0.48,,,,
2026-01-06 05:16:14.304000+00:00,2026-01-06 05:16:14.400325+00:00,74.304,0.595,0.59,0.6,0.405,0.4,0.41,,,,
2026-01-06 05:16:15.283000+00:00,2026-01-06 05:16:15.397426+00:00,75.283,0.605,0.6,0.61,0.395,0.39,0.4,,,,
2026-01-06 05:16:16.310000+00:00,2026-01-06 05:16:16.393777+00:00,76.31,0.615,0.61,0.62,0.385,0.38,0.39,,,,
2026-01-06 05:16:17.279000+00:00,2026-01-06 05:16:17.393021+00:00,77.279,0.645,0.64,0.65,0.355,0.35,0.36,,,,
2026-01-06 05:16:18.329000+00:00,2026-01-06 05:16:18.410054+00:00,78.329,0.655,0.65,0.66,0.345,0.34,0.35,,,,
2026-01-06 05:16:19.253000+00:00,2026-01-06 05:16:19.409192+00:00,79.253,0.625,0.62,0.63,0.365,0.36,0.37,,,,
2026-01-06 05:16:20.325000+00:00,2026-01-06 05:16:20.410005+00:00,80.325,0.635,0.63,0.64,0.385,0.36,0.41,,,,
2026-01-06 05:16:21.336000+00:00,2026-01-06 05:16:21.419673+00:00,81.336,0.55,0.54,0.56,0.455,0.45,0.46,,,,
2026-01-06 05:16:22.326000+00:00,2026-01-06 05:16:22.426331+00:00,82.326,0.545,0.54,0.55,0.415,0.41,0.42,,,,
