timestamp,collected_at,seconds,up_mid,up_best_bid,up_best_ask,down_mid,down_best_bid,down_best_ask,up_best_bid_size,up_best_ask_size,down_best_bid_size,down_best_ask_size
2026-01-06 02:46:37.976000+00:00,2026-01-06 02:46:38.042106+00:00,97.976,0.4599999999999999,0.45,0.47,0.55,0.53,0.57,,,,
2026-01-06 02:46:39.073000+00:00,2026-01-06 02:46:39.255386+00:00,99.073,0.4499999999999999,0.43,0.47,0.55,0.53,0.57,,,,
2026-01-06 02:46:40.165000+00:00,2026-01-06 02:46:40.209601+00:00,100.165,0.4549999999999999,0.43,0.48,0.5449999999999999,0.52,0.57,,,,
2026-01-06 02:46:41.132000+00:00,2026-01-06 02:46:41.210594+00:00,101.132,0.4499999999999999,0.43,0.47,0.55,0.53,0.57,,,,
2026-01-06 02:46:42.743000+00:00,2026-01-06 02:46:43.276872+00:00,102.743,0.4599999999999999,0.45,0.47,0.54,0.53,0.55,,,,
2026-01-06 02:46:44.193000+00:00,2026-01-06 02:46:44.244573+00:00,104.193,0.4599999999999999,0.45,0.47,0.54,0.53,0.55,,,,
2026-01-06 02:46:45.208000+00:00,2026-01-06 02:46:45.215449+00:00,105.208,0.4599999999999999,0.45,0.47,0.54,0.53,0.55,,,,
2026-01-06 02:46:46.232000+00:00,2026-01-06 02:46:46.261141+00:00,106.232,0.445,0.43,0.46,0.5549999999999999,0.54,0.57,,,,
2026-01-06 02:46:47.111000+00:00,2026-01-06 02:46:47.239043+00:00,107.111,0.44,0.43,0.45,0.56,0.55,0.57,,,,
2026-01-06 02:46:48.954000+00:00,2026-01-06 02:46:49.241085+00:00,108.954,0.445,0.43,0.46,0.5549999999999999,0.54,0.57,,,,
2026-01-06 02:46:50.142000+00:00,2026-01-06 02:46:50.289046+00:00,110.142,0.445,0.43,0.46,0.5549999999999999,0.54,0.57,,,,
2026-01-06 02:46:51.293000+00:00,2026-01-06 02:46:51.306589+00:00,111.293,0.445,0.43,0.46,0.5549999999999999,0.54,0.57,,,,
2026-01-06 02:46:52.231000+00:00,2026-01-06 02:46:52.293574+00:00,112.231,0.445,0.43,0.46,0.5549999999999999,0.54,0.57,,,,
2026-01-06 02:46:53.005000+00:00,2026-01-06 02:46:53.395315+00:00,113.005,0.445,0.43,0.46,0.545,0.54,0.55,,,,
2026-01-06 02:46:54.137000+00:00,2026-01-06 02:46:54.371189+00:00,114.137,0.455,0.45,0.46,0.545,0.54,0.55,,,,
2026-01-06 02:46:55.002000+00:00,2026-01-06 02:46:55.293821+00:00,115.002,0.455,0.45,0.46,0.545,0.54,0.55,,,,
2026-01-06 02:46:56.228000+00:00,2026-01-06 02:46:56.352420+00:00,116.228,0.455,0.45,0.46,0.545,0.54,0.55,,,,
2026-01-06 02:46:57.437000+00:00,2026-01-06 02:46:57.442591+00:00,117.437,0.455,0.45,0.46,0.545,0.54,0.55,,,,
2026-01-06 02:46:58.467000+00:00,2026-01-06 02:46:58.461059+00:00,118.467,0.455,0.45,0.46,0.545,0.54,0.55,,,,
2026-01-06 02:46:59.060000+00:00,2026-01-06 02:46:59.409451+00:00,119.06,0.455,0.45,0.46,0.545,0.54,0.55,,,,
2026-01-06 02:47:00.471000+00:00,2026-01-06 02:47:00.511526+00:00,120.471,0.47,0.46,0.48,0.525,0.52,0.53,,,,
2026-01-06 02:47:01.372000+00:00,2026-01-06 02:47:01.434671+00:00,121.372,0.4599999999999999,0.45,0.47,0.545,0.54,0.55,,,,
2026-01-06 02:47:02.426000+00:00,2026-01-06 02:47:02.471567+00:00,122.426,0.425,0.42,0.43,0.575,0.57,0.58,,,,
2026-01-06 02:47:03.635000+00:00,2026-01-06 02:47:03.661317+00:00,123.635,0.425,0.42,0.43,0.575,0.57,0.58,,,,
2026-01-06 02:47:04.572000+00:00,2026-01-06 02:47:04.585358+00:00,124.572,0.425,0.42,0.43,0.575,0.57,0.58,,,,
2026-01-06 02:47:05.863000+00:00,2026-01-06 02:47:05.859635+00:00,125.863,0.415,0.41,0.42,0.585,0.58,0.59,,,,
2026-01-06 02:47:07.394000+00:00,2026-01-06 02:47:07.772731+00:00,127.394,0.39,0.38,0.4,0.61,0.6,0.62,,,,
2026-01-06 02:47:08.711000+00:00,2026-01-06 02:47:08.709378+00:00,128.711,0.385,0.38,0.39,0.615,0.61,0.62,,,,
2026-01-06 02:47:09.725000+00:00,2026-01-06 02:47:09.742961+00:00,129.725,0.385,0.38,0.39,0.615,0.61,0.62,,,,
2026-01-06 02:47:10.527000+00:00,2026-01-06 02:47:10.760369+00:00,130.527,0.385,0.38,0.39,0.615,0.61,0.62,,,,
2026-01-06 02:47:11.645000+00:00,2026-01-06 02:47:11.727009+00:00,131.645,0.385,0.38,0.39,0.615,0.61,0.62,,,,
2026-01-06 02:47:12.467000+00:00,2026-01-06 02:47:12.722869+00:00,132.467,0.385,0.38,0.39,0.615,0.61,0.62,,,,
2026-01-06 02:47:13.002000+00:00,2026-01-06 02:47:13.740272+00:00,133.002,0.385,0.38,0.39,0.615,0.61,0.62,,,,
2026-01-06 02:47:14.268000+00:00,2026-01-06 02:47:14.823003+00:00,134.268,0.385,0.38,0.39,0.615,0.61,0.62,,,,
2026-01-06 02:47:15.758000+00:00,2026-01-06 02:47:15.758673+00:00,135.758,0.395,0.39,0.4,0.605,0.6,0.61,,,,
2026-01-06 02:47:16.004000+00:00,2026-01-06 02:47:16.775199+00:00,136.004,0.395,0.39,0.4,0.605,0.6,0.61,,,,
2026-01-06 02:47:17.655000+00:00,2026-01-06 02:47:17.823793+00:00,137.655,0.41,0.4,0.42,0.59,0.58,0.6,,,,
2026-01-06 02:47:18.806000+00:00,2026-01-06 02:47:18.807677+00:00,138.806,0.39,0.38,0.4,0.61,0.6,0.62,,,,
2026-01-06 02:47:19.932000+00:00,2026-01-06 02:47:19.923801+00:00,139.932,0.39,0.38,0.4,0.61,0.6,0.62,,,,
2026-01-06 02:47:20.428000+00:00,2026-01-06 02:47:20.932944+00:00,140.428,0.39,0.38,0.4,0.61,0.6,0.62,,,,
2026-01-06 02:47:21.976000+00:00,2026-01-06 02:47:21.990851+00:00,141.976,0.375,0.37,0.38,0.625,0.62,0.63,,,,
