timestamp,collected_at,seconds,up_mid,up_best_bid,up_best_ask,down_mid,down_best_bid,down_best_ask,up_best_bid_size,up_best_ask_size,down_best_bid_size,down_best_ask_size
2026-01-06 03:00:00.640000+00:00,2026-01-06 03:00:00.734885+00:00,0.64,0.495,0.49,0.5,0.505,0.5,0.51,,,,
2026-01-06 03:00:01.685000+00:00,2026-01-06 03:00:01.736336+00:00,1.685,0.49,0.48,0.5,0.51,0.5,0.52,,,,
2026-01-06 03:00:02.697000+00:00,2026-01-06 03:00:02.749776+00:00,2.697,0.4649999999999999,0.46,0.47,0.535,0.53,0.54,,,,
2026-01-06 03:00:03.738000+00:00,2026-01-06 03:00:03.751474+00:00,3.738,0.495,0.49,0.5,0.485,0.48,0.49,,,,
2026-01-06 03:00:04.683000+00:00,2026-01-06 03:00:04.733297+00:00,4.683,0.515,0.51,0.52,0.485,0.48,0.49,,,,
2026-01-06 03:00:05.735000+00:00,2026-01-06 03:00:05.736327+00:00,5.735,0.51,0.5,0.52,0.495,0.49,0.5,,,,
2026-01-06 03:00:06.730000+00:00,2026-01-06 03:00:06.736055+00:00,6.73,0.515,0.51,0.52,0.485,0.48,0.49,,,,
2026-01-06 03:00:08.141000+00:00,2026-01-06 03:00:08.276715+00:00,8.141,0.52,0.51,0.53,0.475,0.47,0.48,,,,
2026-01-06 03:00:09.557000+00:00,2026-01-06 03:00:09.721760+00:00,9.557,0.49,0.48,0.5,0.51,0.5,0.52,,,,
2026-01-06 03:00:10.729000+00:00,2026-01-06 03:00:10.721334+00:00,10.729,0.455,0.45,0.46,0.545,0.54,0.55,,,,
2026-01-06 03:00:11.667000+00:00,2026-01-06 03:00:11.728365+00:00,11.667,0.455,0.45,0.46,0.545,0.54,0.55,,,,
2026-01-06 03:00:12.390000+00:00,2026-01-06 03:00:12.732837+00:00,12.39,0.455,0.45,0.46,0.545,0.54,0.55,,,,
2026-01-06 03:00:13.593000+00:00,2026-01-06 03:00:13.733555+00:00,13.593,0.455,0.45,0.46,0.545,0.54,0.55,,,,
2026-01-06 03:00:14.398000+00:00,2026-01-06 03:00:14.761278+00:00,14.398,0.455,0.45,0.46,0.545,0.54,0.55,,,,
2026-01-06 03:00:15.761000+00:00,2026-01-06 03:00:15.768162+00:00,15.761,0.455,0.45,0.46,0.545,0.54,0.55,,,,
2026-01-06 03:00:16.778000+00:00,2026-01-06 03:00:16.784602+00:00,16.778,0.4599999999999999,0.45,0.47,0.545,0.54,0.55,,,,
2026-01-06 03:00:17.692000+00:00,2026-01-06 03:00:17.797654+00:00,17.692,0.455,0.45,0.46,0.545,0.54,0.55,,,,
2026-01-06 03:00:18.772000+00:00,2026-01-06 03:00:18.780951+00:00,18.772,0.455,0.45,0.46,0.545,0.54,0.55,,,,
2026-01-06 03:00:19.319000+00:00,2026-01-06 03:00:19.785057+00:00,19.319,0.455,0.45,0.46,0.545,0.54,0.55,,,,
2026-01-06 03:00:20.545000+00:00,2026-01-06 03:00:20.778921+00:00,20.545,0.455,0.45,0.46,0.545,0.54,0.55,,,,
2026-01-06 03:00:21.163000+00:00,2026-01-06 03:00:21.781363+00:00,21.163,0.455,0.45,0.46,0.545,0.54,0.55,,,,
2026-01-06 03:00:22.780000+00:00,2026-01-06 03:00:22.779888+00:00,22.78,0.455,0.45,0.46,0.545,0.54,0.55,,,,
2026-01-06 03:00:23.782000+00:00,2026-01-06 03:00:23.784268+00:00,23.782,0.455,0.45,0.46,0.545,0.54,0.55,,,,
2026-01-06 03:00:24.691000+00:00,2026-01-06 03:00:24.796670+00:00,24.691,0.4649999999999999,0.46,0.47,0.54,0.53,0.55,,,,
2026-01-06 03:00:25.625000+00:00,2026-01-06 03:00:25.798743+00:00,25.625,0.455,0.45,0.46,0.545,0.54,0.55,,,,
2026-01-06 03:00:26.807000+00:00,2026-01-06 03:00:26.809926+00:00,26.807,0.455,0.45,0.46,0.545,0.54,0.55,,,,
2026-01-06 03:00:27.559000+00:00,2026-01-06 03:00:27.813768+00:00,27.559,0.455,0.45,0.46,0.545,0.54,0.55,,,,
2026-01-06 03:00:28.713000+00:00,2026-01-06 03:00:28.814278+00:00,28.713,0.455,0.45,0.46,0.545,0.54,0.55,,,,
2026-01-06 03:00:29.532000+00:00,2026-01-06 03:00:29.820037+00:00,29.532,0.455,0.45,0.46,0.545,0.54,0.55,,,,
2026-01-06 03:00:30.733000+00:00,2026-01-06 03:00:30.839618+00:00,30.733,0.455,0.45,0.46,0.545,0.54,0.55,,,,
2026-01-06 03:00:31.780000+00:00,2026-01-06 03:00:31.849874+00:00,31.78,0.455,0.45,0.46,0.545,0.54,0.55,,,,
2026-01-06 03:00:32.830000+00:00,2026-01-06 03:00:32.844293+00:00,32.83,0.455,0.45,0.46,0.545,0.54,0.55,,,,
2026-01-06 03:00:33.542000+00:00,2026-01-06 03:00:33.849248+00:00,33.542,0.455,0.45,0.46,0.545,0.54,0.55,,,,
2026-01-06 03:00:34.748000+00:00,2026-01-06 03:00:34.861323+00:00,34.748,0.455,0.45,0.46,0.545,0.54,0.55,,,,
2026-01-06 03:00:35.818000+00:00,2026-01-06 03:00:35.862427+00:00,35.818,0.455,0.45,0.46,0.545,0.54,0.55,,,,
2026-01-06 03:00:36.835000+00:00,2026-01-06 03:00:36.858889+00:00,36.835,0.455,0.45,0.46,0.545,0.54,0.55,,,,
2026-01-06 03:00:37.842000+00:00,2026-01-06 03:00:37.884500+00:00,37.842,0.455,0.45,0.46,0.545,0.54,0.55,,,,
2026-01-06 03:00:38.813000+00:00,2026-01-06 03:00:38.900731+00:00,38.813,0.455,0.45,0.46,0.545,0.54,0.55,,,,
2026-01-06 03:00:39.810000+00:00,2026-01-06 03:00:39.906276+00:00,39.81,0.455,0.45,0.46,0.545,0.54,0.55,,,,
2026-01-06 03:00:40.749000+00:00,2026-01-06 03:00:40.912024+00:00,40.749,0.455,0.45,0.46,0.545,0.54,0.55,,,,
2026-01-06 03:00:41.888000+00:00,2026-01-06 03:00:41.915002+00:00,41.888,0.455,0.45,0.46,0.545,0.54,0.55,,,,
