timestamp,collected_at,seconds,mid,bid,ask,asset
2026-01-06 03:00:00+00:00,2026-01-06 03:02:15.583086+00:00,0.0,3215.91,3215.88,3216.04,ETH
2026-01-06 03:00:01+00:00,2026-01-06 03:02:16.597882+00:00,1.0,3215.91,3215.89,3216.13,ETH
2026-01-06 03:00:02+00:00,2026-01-06 03:02:17.658469+00:00,2.0,3215.91,3215.9,3216.23,ETH
2026-01-06 03:00:03+00:00,2026-01-06 03:02:18.632953+00:00,3.0,3215.92,3215.91,3216.15,ETH
2026-01-06 03:00:04+00:00,2026-01-06 03:02:19.651931+00:00,4.0,3215.92,3215.91,3216.21,ETH
2026-01-06 03:00:05+00:00,2026-01-06 03:02:20.647767+00:00,5.0,3215.92,3215.91,3216.21,ETH
2026-01-06 03:00:06+00:00,2026-01-06 03:02:21.695437+00:00,6.0,3215.93,3215.9,3216.18,ETH
2026-01-06 03:00:07+00:00,2026-01-06 03:02:22.664777+00:00,7.0,3215.93,3215.9,3216.03,ETH
2026-01-06 03:00:08+00:00,2026-01-06 03:02:23.697697+00:00,8.0,3216.0,3215.9,3216.22,ETH
2026-01-06 03:00:09+00:00,2026-01-06 03:02:24.697041+00:00,9.0,3215.91,3215.85,3216.22,ETH
2026-01-06 03:00:10+00:00,2026-01-06 03:02:25.697574+00:00,10.0,3215.91,3215.88,3216.29,ETH
2026-01-06 03:00:11+00:00,2026-01-06 03:02:26.714049+00:00,11.0,3215.91,3215.88,3216.31,ETH
2026-01-06 03:00:12+00:00,2026-01-06 03:02:27.730709+00:00,12.0,3215.91,3215.87,3216.3,ETH
2026-01-06 03:00:13+00:00,2026-01-06 03:02:28.763989+00:00,13.0,3215.91,3215.87,3216.32,ETH
2026-01-06 03:00:14+00:00,2026-01-06 03:02:29.754844+00:00,14.0,3215.91,3215.87,3216.28,ETH
2026-01-06 03:00:15+00:00,2026-01-06 03:02:30.769234+00:00,15.0,3215.91,3215.87,3216.3,ETH
2026-01-06 03:00:16+00:00,2026-01-06 03:02:31.795798+00:00,16.0,3215.91,3215.87,3216.26,ETH
2026-01-06 03:00:17+00:00,2026-01-06 03:02:32.884539+00:00,17.0,3215.91,3215.87,3216.14,ETH
2026-01-06 03:00:18+00:00,2026-01-06 03:02:33.874075+00:00,18.0,3215.91,3215.87,3216.31,ETH
2026-01-06 03:00:19+00:00,2026-01-06 03:02:34.941819+00:00,19.0,3215.91,3215.88,3216.33,ETH
2026-01-06 03:00:20+00:00,2026-01-06 03:02:35.939599+00:00,20.0,3215.91,3215.88,3216.19,ETH
2026-01-06 03:00:21+00:00,2026-01-06 03:02:36.943250+00:00,21.0,3215.91,3215.88,3216.19,ETH
2026-01-06 03:00:22+00:00,2026-01-06 03:02:37.997934+00:00,22.0,3215.89,3215.87,3216.27,ETH
2026-01-06 03:00:23+00:00,2026-01-06 03:02:39.657538+00:00,23.0,3215.88,3215.86,3216.21,ETH
2026-01-06 03:00:24+00:00,2026-01-06 03:02:40.710387+00:00,24.0,3215.53,3215.53,3215.8,ETH
2026-01-06 03:00:25+00:00,2026-01-06 03:02:41.916084+00:00,25.0,3215.39,3215.39,3215.55,ETH
2026-01-06 03:00:26+00:00,2026-01-06 03:02:42.657793+00:00,26.0,3215.23,3215.2,3215.46,ETH
2026-01-06 03:00:27+00:00,2026-01-06 03:02:43.663596+00:00,27.0,3215.23,3215.19,3215.49,ETH
2026-01-06 03:00:29+00:00,2026-01-06 03:02:44.742470+00:00,29.0,3215.23,3215.2,3215.54,ETH
2026-01-06 03:00:30+00:00,2026-01-06 03:02:45.759523+00:00,30.0,3215.23,3215.2,3215.55,ETH
2026-01-06 03:00:31+00:00,2026-01-06 03:02:46.844878+00:00,31.0,3215.23,3215.2,3215.54,ETH
2026-01-06 03:00:32+00:00,2026-01-06 03:02:47.908467+00:00,32.0,3215.23,3215.2,3215.31,ETH
2026-01-06 03:00:33+00:00,2026-01-06 03:02:48.888920+00:00,33.0,3215.23,3215.19,3215.29,ETH
2026-01-06 03:00:34+00:00,2026-01-06 03:02:49.897707+00:00,34.0,3215.23,3215.19,3215.49,ETH
2026-01-06 03:00:35+00:00,2026-01-06 03:02:50.894494+00:00,35.0,3215.21,3215.19,3215.34,ETH
2026-01-06 03:00:36+00:00,2026-01-06 03:02:51.912103+00:00,36.0,3215.21,3215.19,3215.5,ETH
2026-01-06 03:00:37+00:00,2026-01-06 03:02:53.100881+00:00,37.0,3215.21,3215.19,3215.5,ETH
2026-01-06 03:00:38+00:00,2026-01-06 03:02:54.110736+00:00,38.0,3215.21,3215.19,3215.5,ETH
2026-01-06 03:00:39+00:00,2026-01-06 03:02:55.127757+00:00,39.0,3215.21,3215.19,3215.51,ETH
2026-01-06 03:00:40+00:00,2026-01-06 03:02:56.144293+00:00,40.0,3215.21,3215.16,3215.4,ETH
2026-01-06 03:00:41+00:00,2026-01-06 03:02:57.145574+00:00,41.0,3214.99,3214.98,3215.25,ETH
2026-01-06 03:00:42+00:00,2026-01-06 03:02:58.163930+00:00,42.0,3214.99,3214.88,3215.12,ETH
2026-01-06 03:00:43+00:00,2026-01-06 03:02:59.163708+00:00,43.0,3214.59,3214.59,3215.09,ETH
2026-01-06 03:00:44+00:00,2026-01-06 03:03:00.223182+00:00,44.0,3214.57,3214.57,3214.87,ETH
2026-01-06 03:00:45+00:00,2026-01-06 03:03:02.041866+00:00,45.0,3214.55,3214.54,3214.72,ETH
2026-01-06 03:00:46+00:00,2026-01-06 03:03:02.226994+00:00,46.0,3214.55,3214.54,3214.71,ETH
2026-01-06 03:00:47+00:00,2026-01-06 03:03:05.162802+00:00,47.0,3214.55,3214.54,3214.66,ETH
2026-01-06 03:00:49+00:00,2026-01-06 03:03:05.206160+00:00,49.0,3214.56,3214.55,3214.84,ETH
