strategy,epsilon,min_tau,max_tau,n_trades,n_markets,total_pnl,mean_pnl_per_market,std_pnl_per_market,t_stat,hit_rate_market,hit_rate_trade,avg_trades_per_market,tau_max,delta_threshold_bps,hold_seconds,inventory_phase_end,tilt_phase_start,inventory_epsilon,tilt_delta_threshold_bps
Strategy_A,0.01,30.0,720.0,120,36,12.448,0.3457777777777778,1.8973498978629733,1.0934549652667698,0.4722222222222222,0.625,3.3333333333333335,,,,,,,
Strategy_A,0.01,30.0,840.0,138,36,11.938000000000006,0.3316111111111111,2.1410594877673836,0.9292906983828908,0.4722222222222222,0.6014492753623188,3.8333333333333335,,,,,,,
Strategy_A,0.01,60.0,720.0,119,36,12.048000000000002,0.3346666666666665,1.8693158412332878,1.074189794847731,0.4722222222222222,0.6218487394957983,3.3055555555555554,,,,,,,
Strategy_A,0.01,60.0,840.0,137,36,11.538000000000004,0.3205,2.1161798127758424,0.9087129498119331,0.4722222222222222,0.5985401459854015,3.8055555555555554,,,,,,,
Strategy_A,0.01,120.0,720.0,109,36,9.658999999999999,0.2683055555555555,1.7196748666028112,0.9361265693866491,0.4722222222222222,0.6055045871559633,3.0277777777777777,,,,,,,
Strategy_A,0.01,120.0,840.0,127,36,9.149000000000004,0.2541388888888889,1.9750197417136697,0.7720597931898534,0.4722222222222222,0.5826771653543307,3.5277777777777777,,,,,,,
Strategy_A,0.02,30.0,720.0,44,36,4.57,0.12694444444444447,0.9781376457167232,0.7786906781494553,0.2777777777777778,0.6363636363636364,1.2222222222222223,,,,,,,
Strategy_A,0.02,30.0,840.0,49,36,3.8499999999999996,0.10694444444444445,1.062567831634949,0.6038830158064815,0.3055555555555556,0.6122448979591837,1.3611111111111112,,,,,,,
Strategy_A,0.02,60.0,720.0,44,36,4.57,0.12694444444444447,0.9781376457167232,0.7786906781494553,0.2777777777777778,0.6363636363636364,1.2222222222222223,,,,,,,
Strategy_A,0.02,60.0,840.0,49,36,3.8499999999999996,0.10694444444444445,1.062567831634949,0.6038830158064815,0.3055555555555556,0.6122448979591837,1.3611111111111112,,,,,,,
Strategy_A,0.02,120.0,720.0,37,36,1.9299999999999997,0.05361111111111113,0.8257919239053513,0.38952508174872247,0.25,0.5675675675675675,1.0277777777777777,,,,,,,
Strategy_A,0.02,120.0,840.0,42,36,1.21,0.03361111111111111,0.9178426655642886,0.2197181218882239,0.2777777777777778,0.5476190476190477,1.1666666666666667,,,,,,,
Strategy_A,0.03,30.0,720.0,28,36,3.42,0.095,0.8825595892467707,0.6458487414843821,0.19444444444444445,0.6428571428571429,0.7777777777777778,,,,,,,
Strategy_A,0.03,30.0,840.0,32,36,2.6099999999999994,0.07250000000000001,0.9351711073381169,0.46515551708840713,0.19444444444444445,0.59375,0.8888888888888888,,,,,,,
Strategy_A,0.03,60.0,720.0,28,36,3.42,0.095,0.8825595892467707,0.6458487414843821,0.19444444444444445,0.6428571428571429,0.7777777777777778,,,,,,,
Strategy_A,0.03,60.0,840.0,32,36,2.6099999999999994,0.07250000000000001,0.9351711073381169,0.46515551708840713,0.19444444444444445,0.59375,0.8888888888888888,,,,,,,
Strategy_A,0.03,120.0,720.0,23,36,1.62,0.045000000000000005,0.732867167851232,0.36841601294766774,0.16666666666666666,0.5652173913043478,0.6388888888888888,,,,,,,
Strategy_A,0.03,120.0,840.0,27,36,0.81,0.022500000000000003,0.7884392358142944,0.17122435549592224,0.16666666666666666,0.5185185185185185,0.75,,,,,,,
Strategy_A,0.04,30.0,720.0,20,36,4.739999999999999,0.13166666666666665,0.7691200909388041,1.0271477878515818,0.16666666666666666,0.75,0.5555555555555556,,,,,,,
Strategy_A,0.04,30.0,840.0,21,36,5.38,0.14944444444444444,0.7790284955156626,1.1510062492298638,0.16666666666666666,0.7619047619047619,0.5833333333333334,,,,,,,
Strategy_A,0.04,60.0,720.0,20,36,4.739999999999999,0.13166666666666665,0.7691200909388041,1.0271477878515818,0.16666666666666666,0.75,0.5555555555555556,,,,,,,
Strategy_A,0.04,60.0,840.0,21,36,5.38,0.14944444444444444,0.7790284955156626,1.1510062492298638,0.16666666666666666,0.7619047619047619,0.5833333333333334,,,,,,,
Strategy_A,0.04,120.0,720.0,16,36,3.15,0.08750000000000001,0.6064528011313,0.8656897932050857,0.1111111111111111,0.6875,0.4444444444444444,,,,,,,
Strategy_A,0.04,120.0,840.0,17,36,3.79,0.10527777777777778,0.6131580365434166,1.03018574171773,0.1388888888888889,0.7058823529411765,0.4722222222222222,,,,,,,
Strategy_B,,,,19,36,-0.472,-0.013111111111111113,0.1986147423355474,-0.39607667457919205,0.3055555555555556,0.5789473684210527,0.5277777777777778,120.0,5.0,120.0,,,,
Strategy_B,,,,19,36,-0.472,-0.013111111111111113,0.1986147423355474,-0.39607667457919205,0.3055555555555556,0.5789473684210527,0.5277777777777778,120.0,5.0,180.0,,,,
Strategy_B,,,,19,36,-0.472,-0.013111111111111113,0.1986147423355474,-0.39607667457919205,0.3055555555555556,0.5789473684210527,0.5277777777777778,120.0,5.0,240.0,,,,
Strategy_B,,,,10,36,0.18899999999999995,0.005249999999999999,0.10834979728374472,0.29072504785134295,0.16666666666666666,0.6,0.2777777777777778,120.0,10.0,120.0,,,,
Strategy_B,,,,10,36,0.18899999999999995,0.005249999999999999,0.10834979728374472,0.29072504785134295,0.16666666666666666,0.6,0.2777777777777778,120.0,10.0,180.0,,,,
Strategy_B,,,,10,36,0.18899999999999995,0.005249999999999999,0.10834979728374472,0.29072504785134295,0.16666666666666666,0.6,0.2777777777777778,120.0,10.0,240.0,,,,
