timestamp,seconds,mid,bid,ask,asset
2026-01-07 04:45:00+00:00,0.0,3259.991,3259.93,3260.08,ETH
2026-01-07 04:45:01+00:00,1.0,3260.081,3259.93,3260.15,ETH
2026-01-07 04:45:02+00:00,2.0,3260.041,3259.93,3260.12,ETH
2026-01-07 04:45:03+00:00,3.0,3260.081,3259.93,3260.2,ETH
2026-01-07 04:45:04+00:00,4.0,3260.021,3259.91,3260.17,ETH
2026-01-07 04:45:05+00:00,5.0,3259.961,3259.86,3260.09,ETH
2026-01-07 04:45:07+00:00,7.0,3259.261,3259.19,3259.32,ETH
2026-01-07 04:45:08+00:00,8.0,3258.611,3258.61,3258.86,ETH
2026-01-07 04:45:09+00:00,9.0,3258.611,3258.61,3258.89,ETH
2026-01-07 04:45:10+00:00,10.0,3258.611,3258.61,3258.79,ETH
2026-01-07 04:45:11+00:00,11.0,3258.611,3258.61,3258.73,ETH
2026-01-07 04:45:12+00:00,12.0,3258.611,3258.61,3258.71,ETH
2026-01-07 04:45:13+00:00,13.0,3258.611,3258.61,3258.76,ETH
2026-01-07 04:45:14+00:00,14.0,3258.631,3258.61,3258.72,ETH
2026-01-07 04:45:15+00:00,15.0,3258.681,3258.6,3258.87,ETH
2026-01-07 04:45:16+00:00,16.0,3258.701,3258.63,3258.87,ETH
2026-01-07 04:45:17+00:00,17.0,3258.721,3258.67,3258.87,ETH
2026-01-07 04:45:18+00:00,18.0,3258.781,3258.74,3258.87,ETH
2026-01-07 04:45:19+00:00,19.0,3258.801,3258.75,3258.87,ETH
2026-01-07 04:45:20+00:00,20.0,3258.721,3258.69,3258.87,ETH
2026-01-07 04:45:21+00:00,21.0,3258.831,3258.79,3258.87,ETH
2026-01-07 04:45:22+00:00,22.0,3258.771,3258.72,3258.87,ETH
2026-01-07 04:45:23+00:00,23.0,3258.771,3258.72,3258.87,ETH
2026-01-07 04:45:24+00:00,24.0,3258.711,3258.63,3258.87,ETH
2026-01-07 04:45:25+00:00,25.0,3258.611,3258.61,3258.74,ETH
2026-01-07 04:45:26+00:00,26.0,3258.661,3258.65,3258.77,ETH
2026-01-07 04:45:27+00:00,27.0,3258.681,3258.64,3258.74,ETH
2026-01-07 04:45:28+00:00,28.0,3258.681,3258.63,3258.74,ETH
2026-01-07 04:45:29+00:00,29.0,3258.691,3258.64,3258.76,ETH
2026-01-07 04:45:30+00:00,30.0,3258.701,3258.65,3258.79,ETH
2026-01-07 04:45:31+00:00,31.0,3258.681,3258.62,3258.79,ETH
2026-01-07 04:45:32+00:00,32.0,3258.651,3258.6,3258.72,ETH
2026-01-07 04:45:33+00:00,33.0,3258.701,3258.64,3258.75,ETH
2026-01-07 04:45:34+00:00,34.0,3258.721,3258.66,3258.76,ETH
2026-01-07 04:45:35+00:00,35.0,3258.661,3258.62,3258.74,ETH
2026-01-07 04:45:36+00:00,36.0,3258.741,3258.69,3258.81,ETH
2026-01-07 04:45:37+00:00,37.0,3258.691,3258.63,3258.74,ETH
2026-01-07 04:45:38+00:00,38.0,3258.661,3258.61,3258.7,ETH
2026-01-07 04:45:39+00:00,39.0,3258.681,3258.65,3258.75,ETH
2026-01-07 04:45:40+00:00,40.0,3258.691,3258.64,3258.75,ETH
2026-01-07 04:45:41+00:00,41.0,3258.621,3258.56,3258.74,ETH
2026-01-07 04:45:42+00:00,42.0,3258.681,3258.63,3258.74,ETH
2026-01-07 04:45:43+00:00,43.0,3258.671,3258.62,3258.73,ETH
2026-01-07 04:45:44+00:00,44.0,3258.671,3258.62,3258.73,ETH
2026-01-07 04:45:45+00:00,45.0,3258.621,3258.57,3258.69,ETH
2026-01-07 04:45:46+00:00,46.0,3258.691,3258.67,3258.78,ETH
2026-01-07 04:45:47+00:00,47.0,3258.711,3258.68,3258.77,ETH
2026-01-07 04:45:48+00:00,48.0,3258.691,3258.64,3258.74,ETH
2026-01-07 04:45:49+00:00,49.0,3258.611,3258.57,3258.69,ETH
2026-01-07 04:45:50+00:00,50.0,3258.651,3258.62,3258.71,ETH
2026-01-07 04:45:51+00:00,51.0,3258.671,3258.64,3258.71,ETH
2026-01-07 04:45:52+00:00,52.0,3258.651,3258.61,3258.7,ETH
2026-01-07 04:45:53+00:00,53.0,3258.671,3258.64,3258.73,ETH
2026-01-07 04:45:54+00:00,54.0,3258.691,3258.65,3258.75,ETH
2026-01-07 04:45:55+00:00,55.0,3258.671,3258.62,3258.73,ETH
2026-01-07 04:45:56+00:00,56.0,3258.681,3258.65,3258.74,ETH
2026-01-07 04:45:57+00:00,57.0,3258.691,3258.66,3258.74,ETH
2026-01-07 04:45:58+00:00,58.0,3258.681,3258.63,3258.73,ETH
2026-01-07 04:45:59+00:00,59.0,3258.671,3258.61,3258.72,ETH
2026-01-07 04:46:00+00:00,60.0,3258.671,3258.62,3258.73,ETH
2026-01-07 04:46:01+00:00,61.0,3258.651,3258.61,3258.71,ETH
2026-01-07 04:46:02+00:00,62.0,3258.631,3258.58,3258.7,ETH
2026-01-07 04:46:03+00:00,63.0,3258.651,3258.6,3258.71,ETH
2026-01-07 04:46:04+00:00,64.0,3258.641,3258.59,3258.71,ETH
2026-01-07 04:46:05+00:00,65.0,3258.621,3258.57,3258.7,ETH
2026-01-07 04:46:06+00:00,66.0,3258.621,3258.57,3258.7,ETH
2026-01-07 04:46:07+00:00,67.0,3258.601,3258.56,3258.7,ETH
2026-01-07 04:46:08+00:00,68.0,3258.621,3258.57,3258.7,ETH
2026-01-07 04:46:09+00:00,69.0,3258.611,3258.57,3258.7,ETH
2026-01-07 04:46:11+00:00,71.0,3258.651,3258.6,3258.7,ETH
2026-01-07 04:46:12+00:00,72.0,3258.641,3258.59,3258.7,ETH
2026-01-07 04:46:13+00:00,73.0,3258.531,3258.47,3258.59,ETH
2026-01-07 04:46:14+00:00,74.0,3258.341,3258.28,3258.47,ETH
2026-01-07 04:46:15+00:00,75.0,3258.271,3258.21,3258.46,ETH
2026-01-07 04:46:16+00:00,76.0,3258.301,3258.25,3258.46,ETH
2026-01-07 04:46:17+00:00,77.0,3258.281,3258.23,3258.46,ETH
2026-01-07 04:46:18+00:00,78.0,3258.351,3258.29,3258.53,ETH
2026-01-07 04:46:19+00:00,79.0,3258.401,3258.35,3258.5,ETH
2026-01-07 04:46:20+00:00,80.0,3258.401,3258.36,3258.47,ETH
2026-01-07 04:46:21+00:00,81.0,3258.461,3258.43,3258.53,ETH
2026-01-07 04:46:22+00:00,82.0,3258.431,3258.39,3258.49,ETH
2026-01-07 04:46:23+00:00,83.0,3258.421,3258.37,3258.48,ETH
