timestamp,seconds,mid,bid,ask,asset
2026-01-07 04:00:00+00:00,0.0,3263.95,3263.85,3264.05,ETH
2026-01-07 04:00:01+00:00,1.0,3263.94,3263.85,3264.05,ETH
2026-01-07 04:00:02+00:00,2.0,3263.961,3263.85,3264.06,ETH
2026-01-07 04:00:03+00:00,3.0,3263.961,3263.85,3264.06,ETH
2026-01-07 04:00:04+00:00,4.0,3263.94,3263.85,3264.04,ETH
2026-01-07 04:00:05+00:00,5.0,3263.981,3263.85,3264.07,ETH
2026-01-07 04:00:06+00:00,6.0,3264.021,3263.83,3264.1,ETH
2026-01-07 04:00:07+00:00,7.0,3263.92,3263.8,3264.03,ETH
2026-01-07 04:00:08+00:00,8.0,3263.76,3263.64,3263.89,ETH
2026-01-07 04:00:09+00:00,9.0,3263.71,3263.5,3263.82,ETH
2026-01-07 04:00:10+00:00,10.0,3263.71,3263.47,3263.83,ETH
2026-01-07 04:00:11+00:00,11.0,3263.71,3263.46,3263.82,ETH
2026-01-07 04:00:12+00:00,12.0,3263.71,3263.48,3263.82,ETH
2026-01-07 04:00:13+00:00,13.0,3263.71,3263.46,3263.83,ETH
2026-01-07 04:00:14+00:00,14.0,3263.58,3263.46,3263.71,ETH
2026-01-07 04:00:15+00:00,15.0,3263.59,3263.46,3263.71,ETH
2026-01-07 04:00:16+00:00,16.0,3263.32,3263.28,3263.57,ETH
2026-01-07 04:00:17+00:00,17.0,3263.26,3263.26,3263.34,ETH
2026-01-07 04:00:18+00:00,18.0,3263.24,3263.2,3263.28,ETH
2026-01-07 04:00:19+00:00,19.0,3263.26,3263.25,3263.34,ETH
2026-01-07 04:00:20+00:00,20.0,3263.26,3263.22,3263.3,ETH
2026-01-07 04:00:21+00:00,21.0,3263.3,3263.26,3263.49,ETH
2026-01-07 04:00:22+00:00,22.0,3263.38,3263.29,3263.49,ETH
2026-01-07 04:00:23+00:00,23.0,3263.29,3263.21,3263.37,ETH
2026-01-07 04:00:24+00:00,24.0,3263.2,3263.19,3263.37,ETH
2026-01-07 04:00:25+00:00,25.0,3263.19,3263.18,3263.37,ETH
2026-01-07 04:00:26+00:00,26.0,3263.2,3263.18,3263.37,ETH
2026-01-07 04:00:27+00:00,27.0,3263.19,3263.18,3263.37,ETH
2026-01-07 04:00:28+00:00,28.0,3263.19,3263.18,3263.37,ETH
2026-01-07 04:00:29+00:00,29.0,3263.33,3263.26,3263.38,ETH
2026-01-07 04:00:30+00:00,30.0,3263.26,3263.26,3263.39,ETH
2026-01-07 04:00:31+00:00,31.0,3263.18,3263.18,3263.27,ETH
2026-01-07 04:00:32+00:00,32.0,3263.16,3263.15,3263.18,ETH
2026-01-07 04:00:33+00:00,33.0,3263.39,3263.18,3263.42,ETH
2026-01-07 04:00:34+00:00,34.0,3263.23,3263.15,3263.35,ETH
2026-01-07 04:00:35+00:00,35.0,3263.16,3263.09,3263.24,ETH
2026-01-07 04:00:36+00:00,36.0,3263.16,3263.09,3263.29,ETH
2026-01-07 04:00:37+00:00,37.0,3263.26,3263.15,3263.33,ETH
2026-01-07 04:00:38+00:00,38.0,3263.24,3263.15,3263.29,ETH
2026-01-07 04:00:39+00:00,39.0,3263.2,3263.11,3263.25,ETH
2026-01-07 04:00:40+00:00,40.0,3263.2,3263.11,3263.25,ETH
2026-01-07 04:00:41+00:00,41.0,3263.16,3263.12,3263.23,ETH
2026-01-07 04:00:42+00:00,42.0,3263.18,3263.13,3263.25,ETH
2026-01-07 04:00:43+00:00,43.0,3263.16,3263.13,3263.19,ETH
2026-01-07 04:00:44+00:00,44.0,3263.16,3263.14,3263.28,ETH
2026-01-07 04:00:45+00:00,45.0,3263.16,3263.12,3263.26,ETH
2026-01-07 04:00:46+00:00,46.0,3263.17,3263.14,3263.26,ETH
2026-01-07 04:00:47+00:00,47.0,3263.29,3263.16,3263.34,ETH
