timestamp,collected_at,seconds,up_mid,up_best_bid,up_best_ask,down_mid,down_best_bid,down_best_ask,up_best_bid_size,up_best_ask_size,down_best_bid_size,down_best_ask_size
2026-01-06 06:15:00.924000+00:00,2026-01-06 06:15:01.052035+00:00,0.924,0.5,0.48,0.52,0.5,0.48,0.52,,,,
2026-01-06 06:15:01.959000+00:00,2026-01-06 06:15:02.070650+00:00,1.959,0.545,0.54,0.55,0.455,0.45,0.46,,,,
2026-01-06 06:15:02.977000+00:00,2026-01-06 06:15:03.088808+00:00,2.977,0.525,0.51,0.54,0.485,0.48,0.49,,,,
2026-01-06 06:15:03.942000+00:00,2026-01-06 06:15:04.087198+00:00,3.942,0.475,0.47,0.48,0.525,0.52,0.53,,,,
2026-01-06 06:15:04.988000+00:00,2026-01-06 06:15:05.101131+00:00,4.988,0.475,0.47,0.48,0.535,0.53,0.54,,,,
2026-01-06 06:15:05.986000+00:00,2026-01-06 06:15:06.106928+00:00,5.986,0.4,0.39,0.41,0.605,0.6,0.61,,,,
2026-01-06 06:15:06.887000+00:00,2026-01-06 06:15:07.119162+00:00,6.887,0.415,0.41,0.42,0.585,0.58,0.59,,,,
2026-01-06 06:15:08.980000+00:00,2026-01-06 06:15:09.148994+00:00,8.98,0.435,0.43,0.44,0.56,0.55,0.57,,,,
2026-01-06 06:15:10.971000+00:00,2026-01-06 06:15:11.182325+00:00,10.971,0.435,0.43,0.44,0.565,0.56,0.57,,,,
2026-01-06 06:15:12.765000+00:00,2026-01-06 06:15:13.184302+00:00,12.765,0.435,0.43,0.44,0.565,0.56,0.57,,,,
2026-01-06 06:15:13.824000+00:00,2026-01-06 06:15:14.183983+00:00,13.824,0.435,0.43,0.44,0.565,0.56,0.57,,,,
2026-01-06 06:15:15.903000+00:00,2026-01-06 06:15:16.193380+00:00,15.903,0.425,0.42,0.43,0.575,0.57,0.58,,,,
2026-01-06 06:15:17.085000+00:00,2026-01-06 06:15:17.213758+00:00,17.085,0.425,0.42,0.43,0.575,0.57,0.58,,,,
2026-01-06 06:15:18.050000+00:00,2026-01-06 06:15:18.220529+00:00,18.05,0.43,0.42,0.44,0.5700000000000001,0.56,0.58,,,,
2026-01-06 06:15:19.026000+00:00,2026-01-06 06:15:19.217692+00:00,19.026,0.445,0.44,0.45,0.555,0.55,0.56,,,,
2026-01-06 06:15:20.978000+00:00,2026-01-06 06:15:21.228960+00:00,20.978,0.435,0.43,0.44,0.565,0.56,0.57,,,,
2026-01-06 06:15:22.078000+00:00,2026-01-06 06:15:22.228071+00:00,22.078,0.435,0.43,0.44,0.565,0.56,0.57,,,,
2026-01-06 06:15:23.097000+00:00,2026-01-06 06:15:23.222306+00:00,23.097,0.405,0.4,0.41,0.61,0.6,0.62,,,,
2026-01-06 06:15:24.116000+00:00,2026-01-06 06:15:24.225718+00:00,24.116,0.385,0.38,0.39,0.62,0.61,0.63,,,,
2026-01-06 06:15:25.124000+00:00,2026-01-06 06:15:25.244018+00:00,25.124,0.375,0.37,0.38,0.625,0.62,0.63,,,,
2026-01-06 06:15:26.996000+00:00,2026-01-06 06:15:27.252373+00:00,26.996,0.375,0.37,0.38,0.625,0.62,0.63,,,,
2026-01-06 06:15:28.150000+00:00,2026-01-06 06:15:28.268128+00:00,28.15,0.375,0.37,0.38,0.625,0.62,0.63,,,,
2026-01-06 06:15:29.101000+00:00,2026-01-06 06:15:29.269492+00:00,29.101,0.365,0.36,0.37,0.635,0.63,0.64,,,,
2026-01-06 06:15:30.145000+00:00,2026-01-06 06:15:30.277248+00:00,30.145,0.365,0.36,0.37,0.635,0.63,0.64,,,,
2026-01-06 06:15:31.132000+00:00,2026-01-06 06:15:31.277930+00:00,31.132,0.375,0.37,0.38,0.625,0.62,0.63,,,,
2026-01-06 06:15:32.127000+00:00,2026-01-06 06:15:32.292364+00:00,32.127,0.375,0.37,0.38,0.625,0.62,0.63,,,,
2026-01-06 06:15:33.159000+00:00,2026-01-06 06:15:33.307166+00:00,33.159,0.375,0.37,0.38,0.625,0.62,0.63,,,,
2026-01-06 06:15:34.221000+00:00,2026-01-06 06:15:34.310130+00:00,34.221,0.375,0.37,0.38,0.625,0.62,0.63,,,,
2026-01-06 06:15:35.197000+00:00,2026-01-06 06:15:35.322624+00:00,35.197,0.385,0.38,0.39,0.615,0.61,0.62,,,,
2026-01-06 06:15:36.193000+00:00,2026-01-06 06:15:36.317085+00:00,36.193,0.405,0.4,0.41,0.6,0.59,0.61,,,,
2026-01-06 06:15:37.873000+00:00,2026-01-06 06:15:38.344294+00:00,37.873,0.4,0.39,0.41,0.6,0.59,0.61,,,,
2026-01-06 06:15:39.206000+00:00,2026-01-06 06:15:39.368594+00:00,39.206,0.41,0.4,0.42,0.59,0.58,0.6,,,,
2026-01-06 06:15:40.337000+00:00,2026-01-06 06:15:40.367386+00:00,40.337,0.435,0.43,0.44,0.565,0.56,0.57,,,,
2026-01-06 06:15:41.229000+00:00,2026-01-06 06:15:41.383964+00:00,41.229,0.44,0.43,0.45,0.56,0.55,0.57,,,,
2026-01-06 06:15:42.276000+00:00,2026-01-06 06:15:42.400288+00:00,42.276,0.44,0.43,0.45,0.56,0.55,0.57,,,,
2026-01-06 06:15:43.109000+00:00,2026-01-06 06:15:43.400746+00:00,43.109,0.43,0.42,0.44,0.5700000000000001,0.56,0.58,,,,
2026-01-06 06:15:44.256000+00:00,2026-01-06 06:15:44.406932+00:00,44.256,0.43,0.42,0.44,0.5700000000000001,0.56,0.58,,,,
2026-01-06 06:15:45.382000+00:00,2026-01-06 06:15:45.413305+00:00,45.382,0.435,0.43,0.44,0.565,0.56,0.57,,,,
2026-01-06 06:15:46.311000+00:00,2026-01-06 06:15:46.417165+00:00,46.311,0.435,0.43,0.44,0.565,0.56,0.57,,,,
2026-01-06 06:15:47.215000+00:00,2026-01-06 06:15:47.434749+00:00,47.215,0.435,0.43,0.44,0.565,0.56,0.57,,,,
2026-01-06 06:15:48.317000+00:00,2026-01-06 06:15:48.428158+00:00,48.317,0.435,0.43,0.44,0.565,0.56,0.57,,,,
2026-01-06 06:15:49.269000+00:00,2026-01-06 06:15:49.424457+00:00,49.269,0.435,0.43,0.44,0.565,0.56,0.57,,,,
2026-01-06 06:15:50.283000+00:00,2026-01-06 06:15:50.424353+00:00,50.283,0.435,0.43,0.44,0.575,0.57,0.58,,,,
2026-01-06 06:15:51.286000+00:00,2026-01-06 06:15:51.433516+00:00,51.286,0.425,0.42,0.43,0.575,0.57,0.58,,,,
2026-01-06 06:15:52.291000+00:00,2026-01-06 06:15:52.432937+00:00,52.291,0.405,0.4,0.41,0.595,0.59,0.6,,,,
2026-01-06 06:15:53.196000+00:00,2026-01-06 06:15:53.437013+00:00,53.196,0.405,0.4,0.41,0.595,0.59,0.6,,,,
