timestamp,collected_at,seconds,mid,bid,ask,asset
2026-01-06 04:30:00+00:00,2026-01-06 04:32:29.932718+00:00,0.0,3226.191,3225.87,3226.52,ETH
2026-01-06 04:30:01+00:00,2026-01-06 04:32:30.929453+00:00,1.0,3226.181,3225.88,3226.6,ETH
2026-01-06 04:30:02+00:00,2026-01-06 04:32:31.929682+00:00,2.0,3226.181,3225.89,3226.62,ETH
2026-01-06 04:30:03+00:00,2026-01-06 04:32:32.926793+00:00,3.0,3226.181,3225.89,3226.62,ETH
2026-01-06 04:30:04+00:00,2026-01-06 04:32:33.946479+00:00,4.0,3226.211,3225.92,3226.63,ETH
2026-01-06 04:30:05+00:00,2026-01-06 04:32:34.960635+00:00,5.0,3226.311,3226.13,3226.76,ETH
2026-01-06 04:30:06+00:00,2026-01-06 04:32:35.959966+00:00,6.0,3226.311,3226.13,3226.76,ETH
2026-01-06 04:30:07+00:00,2026-01-06 04:32:36.958288+00:00,7.0,3226.311,3226.13,3226.76,ETH
2026-01-06 04:30:08+00:00,2026-01-06 04:32:37.964137+00:00,8.0,3226.311,3226.13,3226.76,ETH
2026-01-06 04:30:09+00:00,2026-01-06 04:32:38.974315+00:00,9.0,3226.311,3226.14,3226.76,ETH
2026-01-06 04:30:10+00:00,2026-01-06 04:32:39.965512+00:00,10.0,3226.311,3226.14,3226.77,ETH
2026-01-06 04:30:11+00:00,2026-01-06 04:32:40.976907+00:00,11.0,3226.311,3226.14,3226.73,ETH
2026-01-06 04:30:12+00:00,2026-01-06 04:32:41.962930+00:00,12.0,3226.301,3226.14,3226.65,ETH
2026-01-06 04:30:13+00:00,2026-01-06 04:32:42.965682+00:00,13.0,3226.301,3226.1,3226.67,ETH
2026-01-06 04:30:14+00:00,2026-01-06 04:32:43.978198+00:00,14.0,3226.281,3226.1,3226.67,ETH
2026-01-06 04:30:15+00:00,2026-01-06 04:32:45.024967+00:00,15.0,3226.281,3226.09,3226.67,ETH
2026-01-06 04:30:16+00:00,2026-01-06 04:32:46.044931+00:00,16.0,3226.281,3226.09,3226.64,ETH
2026-01-06 04:30:17+00:00,2026-01-06 04:32:47.056284+00:00,17.0,3226.281,3226.09,3226.67,ETH
2026-01-06 04:30:18+00:00,2026-01-06 04:32:48.046014+00:00,18.0,3226.281,3226.12,3226.64,ETH
2026-01-06 04:30:19+00:00,2026-01-06 04:32:49.059102+00:00,19.0,3226.281,3226.12,3226.64,ETH
2026-01-06 04:30:20+00:00,2026-01-06 04:32:50.062274+00:00,20.0,3226.281,3226.12,3226.64,ETH
2026-01-06 04:30:21+00:00,2026-01-06 04:32:51.057459+00:00,21.0,3226.281,3226.12,3226.64,ETH
2026-01-06 04:30:22+00:00,2026-01-06 04:32:52.076702+00:00,22.0,3226.231,3225.98,3226.63,ETH
2026-01-06 04:30:23+00:00,2026-01-06 04:32:53.126518+00:00,23.0,3226.231,3225.98,3226.63,ETH
2026-01-06 04:30:24+00:00,2026-01-06 04:32:54.127357+00:00,24.0,3226.231,3225.94,3226.61,ETH
2026-01-06 04:30:25+00:00,2026-01-06 04:32:55.140465+00:00,25.0,3226.231,3225.94,3226.61,ETH
2026-01-06 04:30:26+00:00,2026-01-06 04:32:56.157090+00:00,26.0,3226.231,3225.94,3226.61,ETH
2026-01-06 04:30:27+00:00,2026-01-06 04:32:57.160561+00:00,27.0,3226.231,3225.94,3226.61,ETH
2026-01-06 04:30:28+00:00,2026-01-06 04:32:59.146518+00:00,28.0,3226.231,3225.94,3226.59,ETH
2026-01-06 04:30:29+00:00,2026-01-06 04:33:00.152901+00:00,29.0,3226.231,3225.94,3226.59,ETH
2026-01-06 04:30:31+00:00,2026-01-06 04:33:01.208942+00:00,31.0,3226.301,3226.06,3226.67,ETH
2026-01-06 04:30:32+00:00,2026-01-06 04:33:02.198808+00:00,32.0,3226.392,3226.18,3226.76,ETH
2026-01-06 04:30:33+00:00,2026-01-06 04:33:03.210741+00:00,33.0,3226.422,3226.18,3226.79,ETH
2026-01-06 04:30:34+00:00,2026-01-06 04:33:04.202982+00:00,34.0,3226.452,3226.18,3226.83,ETH
