timestamp,timestamp_ms,asset,market_id,up_mid,up_bid,up_ask,down_mid,down_bid,down_ask,is_observed,collected_at
2026-01-06T03:11:23.808000+00:00,1767669083808,BTC,btc-updown-15m-1767668400,0.985,0.98,0.99,0.015,0.01,0.02,1,2026-01-06 03:11:23.790073+00:00
2026-01-06T03:11:24.747000+00:00,1767669084747,BTC,btc-updown-15m-1767668400,0.985,0.98,0.99,0.015,0.01,0.02,1,2026-01-06 03:11:24.787210+00:00
2026-01-06T03:11:25.405000+00:00,1767669085405,BTC,btc-updown-15m-1767668400,0.985,0.98,0.99,0.015,0.01,0.02,1,2026-01-06 03:11:25.789120+00:00
2026-01-06T03:11:26.715000+00:00,1767669086715,BTC,btc-updown-15m-1767668400,0.985,0.98,0.99,0.015,0.01,0.02,1,2026-01-06 03:11:26.795774+00:00
2026-01-06T03:11:27.772000+00:00,1767669087772,BTC,btc-updown-15m-1767668400,0.985,0.98,0.99,0.015,0.01,0.02,1,2026-01-06 03:11:27.809921+00:00
2026-01-06T03:11:28.803000+00:00,1767669088803,BTC,btc-updown-15m-1767668400,0.985,0.98,0.99,0.015,0.01,0.02,1,2026-01-06 03:11:28.814500+00:00
2026-01-06T03:11:29.800000+00:00,1767669089800,BTC,btc-updown-15m-1767668400,0.985,0.98,0.99,0.015,0.01,0.02,1,2026-01-06 03:11:29.810810+00:00
2026-01-06T03:11:30.750000+00:00,1767669090750,BTC,btc-updown-15m-1767668400,0.985,0.98,0.99,0.015,0.01,0.02,1,2026-01-06 03:11:30.813161+00:00
2026-01-06T03:11:31.780000+00:00,1767669091780,BTC,btc-updown-15m-1767668400,0.985,0.98,0.99,0.015,0.01,0.02,1,2026-01-06 03:11:31.839274+00:00
2026-01-06T03:11:32.698000+00:00,1767669092698,BTC,btc-updown-15m-1767668400,0.985,0.98,0.99,0.015,0.01,0.02,1,2026-01-06 03:11:32.853797+00:00
2026-01-06T03:11:33.862000+00:00,1767669093862,BTC,btc-updown-15m-1767668400,0.985,0.98,0.99,0.015,0.01,0.02,1,2026-01-06 03:11:33.860780+00:00
2026-01-06T03:11:34.826000+00:00,1767669094826,BTC,btc-updown-15m-1767668400,0.985,0.98,0.99,0.015,0.01,0.02,1,2026-01-06 03:11:34.873534+00:00
2026-01-06T03:11:35.866000+00:00,1767669095866,BTC,btc-updown-15m-1767668400,0.985,0.98,0.99,0.015,0.01,0.02,1,2026-01-06 03:11:35.890965+00:00
2026-01-06T03:11:36.794000+00:00,1767669096794,BTC,btc-updown-15m-1767668400,0.985,0.98,0.99,0.01,,0.01,1,2026-01-06 03:11:36.899018+00:00
2026-01-06T03:11:37.824000+00:00,1767669097824,BTC,btc-updown-15m-1767668400,0.99,0.99,,0.01,,0.01,1,2026-01-06 03:11:37.908553+00:00
2026-01-06T03:11:38.894000+00:00,1767669098894,BTC,btc-updown-15m-1767668400,0.99,0.99,,0.01,,0.01,1,2026-01-06 03:11:38.915663+00:00
2026-01-06T03:11:39.737000+00:00,1767669099737,BTC,btc-updown-15m-1767668400,0.985,0.98,0.99,0.01,,0.01,1,2026-01-06 03:11:39.924798+00:00
2026-01-06T03:11:40.919000+00:00,1767669100919,BTC,btc-updown-15m-1767668400,0.99,0.99,,0.01,,0.01,1,2026-01-06 03:11:40.933683+00:00
2026-01-06T03:11:41.908000+00:00,1767669101908,BTC,btc-updown-15m-1767668400,0.99,0.99,,0.01,,0.01,1,2026-01-06 03:11:41.946022+00:00
2026-01-06T03:11:42.710000+00:00,1767669102710,BTC,btc-updown-15m-1767668400,0.99,0.99,,0.01,,0.01,1,2026-01-06 03:11:42.959107+00:00
2026-01-06T03:11:43.694000+00:00,1767669103694,BTC,btc-updown-15m-1767668400,0.99,0.99,,0.01,,0.01,1,2026-01-06 03:11:43.983358+00:00
2026-01-06T03:11:44.894000+00:00,1767669104894,BTC,btc-updown-15m-1767668400,0.99,0.99,,0.01,,0.01,1,2026-01-06 03:11:44.989944+00:00
2026-01-06T03:11:45.690000+00:00,1767669105690,BTC,btc-updown-15m-1767668400,0.99,0.99,,0.01,,0.01,1,2026-01-06 03:11:45.999917+00:00
2026-01-06T03:11:46.791000+00:00,1767669106791,BTC,btc-updown-15m-1767668400,0.99,0.99,,0.01,,0.01,1,2026-01-06 03:11:46.997665+00:00
2026-01-06T03:11:47.982000+00:00,1767669107982,BTC,btc-updown-15m-1767668400,0.99,0.99,,0.01,,0.01,1,2026-01-06 03:11:47.999303+00:00
2026-01-06T03:11:49.791000+00:00,1767669109791,BTC,btc-updown-15m-1767668400,0.99,0.99,,0.01,,0.01,1,2026-01-06 03:11:50.023231+00:00
2026-01-06T03:11:51.039000+00:00,1767669111039,BTC,btc-updown-15m-1767668400,0.99,0.99,,0.01,,0.01,1,2026-01-06 03:11:51.025402+00:00
2026-01-06T03:11:52.629000+00:00,1767669112629,BTC,btc-updown-15m-1767668400,0.99,0.99,,0.01,,0.01,1,2026-01-06 03:11:53.052337+00:00
2026-01-06T03:11:53.800000+00:00,1767669113800,BTC,btc-updown-15m-1767668400,0.99,0.99,,0.01,,0.01,1,2026-01-06 03:11:54.073545+00:00
2026-01-06T03:11:55.004000+00:00,1767669115004,BTC,btc-updown-15m-1767668400,0.99,0.99,,0.01,,0.01,1,2026-01-06 03:11:55.088106+00:00
2026-01-06T03:11:56.028000+00:00,1767669116028,BTC,btc-updown-15m-1767668400,0.99,0.99,,0.01,,0.01,1,2026-01-06 03:11:56.097438+00:00
2026-01-06T03:11:57.052000+00:00,1767669117052,BTC,btc-updown-15m-1767668400,0.99,0.99,,0.01,,0.01,1,2026-01-06 03:11:57.111078+00:00
2026-01-06T03:11:58.080000+00:00,1767669118080,BTC,btc-updown-15m-1767668400,0.99,0.99,,0.01,,0.01,1,2026-01-06 03:11:58.109966+00:00
2026-01-06T03:11:59.118000+00:00,1767669119118,BTC,btc-updown-15m-1767668400,0.99,0.99,,0.01,,0.01,1,2026-01-06 03:11:59.137065+00:00
2026-01-06T03:12:00.127000+00:00,1767669120127,BTC,btc-updown-15m-1767668400,0.99,0.99,,0.01,,0.01,1,2026-01-06 03:12:00.147641+00:00
2026-01-06T03:12:01.004000+00:00,1767669121004,BTC,btc-updown-15m-1767668400,0.99,0.99,,0.01,,0.01,1,2026-01-06 03:12:01.140474+00:00
2026-01-06T03:12:02.083000+00:00,1767669122083,BTC,btc-updown-15m-1767668400,0.99,0.99,,0.01,,0.01,1,2026-01-06 03:12:02.139111+00:00
2026-01-06T03:12:03.019000+00:00,1767669123019,BTC,btc-updown-15m-1767668400,0.99,0.99,,0.01,,0.01,1,2026-01-06 03:12:03.140364+00:00
2026-01-06T03:12:04.811000+00:00,1767669124811,BTC,btc-updown-15m-1767668400,0.99,0.99,,0.01,,0.01,1,2026-01-06 03:12:05.160918+00:00
2026-01-06T03:12:06.105000+00:00,1767669126105,BTC,btc-updown-15m-1767668400,0.99,0.99,,0.01,,0.01,1,2026-01-06 03:12:06.178300+00:00
2026-01-06T03:12:07.089000+00:00,1767669127089,BTC,btc-updown-15m-1767668400,0.99,0.99,,0.01,,0.01,1,2026-01-06 03:12:07.195702+00:00
2026-01-06T03:12:08.196000+00:00,1767669128196,BTC,btc-updown-15m-1767668400,0.99,0.99,,0.01,,0.01,1,2026-01-06 03:12:08.209121+00:00
2026-01-06T03:12:09.127000+00:00,1767669129127,BTC,btc-updown-15m-1767668400,0.99,0.99,,0.01,,0.01,1,2026-01-06 03:12:09.222289+00:00
2026-01-06T03:12:10.227000+00:00,1767669130227,BTC,btc-updown-15m-1767668400,0.99,0.99,,0.01,,0.01,1,2026-01-06 03:12:10.239487+00:00
2026-01-06T03:12:11.203000+00:00,1767669131203,BTC,btc-updown-15m-1767668400,0.99,0.99,,0.01,,0.01,1,2026-01-06 03:12:11.237094+00:00
2026-01-06T03:12:12.006000+00:00,1767669132006,BTC,btc-updown-15m-1767668400,0.99,0.99,,0.01,,0.01,1,2026-01-06 03:12:12.240406+00:00
2026-01-06T03:12:13.164000+00:00,1767669133164,BTC,btc-updown-15m-1767668400,0.99,0.99,,0.01,,0.01,1,2026-01-06 03:12:13.248073+00:00
2026-01-06T03:12:14.244000+00:00,1767669134244,BTC,btc-updown-15m-1767668400,0.99,0.99,,0.01,,0.01,1,2026-01-06 03:12:14.253278+00:00
2026-01-06T03:12:15.249000+00:00,1767669135249,BTC,btc-updown-15m-1767668400,0.99,0.99,,0.01,,0.01,1,2026-01-06 03:12:15.267896+00:00
2026-01-06T03:12:17.604000+00:00,1767669137604,BTC,btc-updown-15m-1767668400,0.99,0.99,,0.01,,0.01,1,2026-01-06 03:12:17.603790+00:00
2026-01-06T03:12:18.338000+00:00,1767669138338,BTC,btc-updown-15m-1767668400,0.99,0.99,,0.01,,0.01,1,2026-01-06 03:12:18.623403+00:00
