timestamp,seconds,mid,bid,ask,asset
2026-01-07 10:00:00+00:00,0.0,3196.73,3196.54,3196.81,ETH
2026-01-07 10:00:01+00:00,1.0,3196.73,3196.48,3196.79,ETH
2026-01-07 10:00:02+00:00,2.0,3196.34,3196.22,3196.35,ETH
2026-01-07 10:00:03+00:00,3.0,3196.0,3195.83,3196.0,ETH
2026-01-07 10:00:04+00:00,4.0,3195.7,3195.49,3195.81,ETH
2026-01-07 10:00:05+00:00,5.0,3195.55,3195.45,3195.74,ETH
2026-01-07 10:00:06+00:00,6.0,3195.6,3195.58,3195.92,ETH
2026-01-07 10:00:07+00:00,7.0,3195.65,3195.54,3196.04,ETH
2026-01-07 10:00:08+00:00,8.0,3195.65,3195.47,3195.96,ETH
2026-01-07 10:00:09+00:00,9.0,3195.6,3195.53,3195.9,ETH
2026-01-07 10:00:10+00:00,10.0,3195.46,3195.41,3195.86,ETH
2026-01-07 10:00:11+00:00,11.0,3195.32,3195.26,3195.8,ETH
2026-01-07 10:00:12+00:00,12.0,3195.26,3195.2,3195.72,ETH
2026-01-07 10:00:13+00:00,13.0,3195.18,3195.11,3195.46,ETH
2026-01-07 10:00:14+00:00,14.0,3195.14,3195.02,3195.17,ETH
2026-01-07 10:00:15+00:00,15.0,3195.11,3194.92,3195.12,ETH
2026-01-07 10:00:16+00:00,16.0,3195.11,3194.91,3195.12,ETH
2026-01-07 10:00:17+00:00,17.0,3195.14,3195.11,3195.26,ETH
2026-01-07 10:00:18+00:00,18.0,3195.47,3195.32,3195.64,ETH
2026-01-07 10:00:19+00:00,19.0,3195.92,3195.6,3196.13,ETH
2026-01-07 10:00:20+00:00,20.0,3195.84,3195.75,3195.95,ETH
2026-01-07 10:00:21+00:00,21.0,3195.87,3195.83,3195.95,ETH
2026-01-07 10:00:22+00:00,22.0,3195.95,3195.91,3195.99,ETH
2026-01-07 10:00:23+00:00,23.0,3196.08,3196.07,3196.3,ETH
2026-01-07 10:00:24+00:00,24.0,3196.4,3196.25,3196.45,ETH
2026-01-07 10:00:25+00:00,25.0,3196.8,3196.79,3197.12,ETH
2026-01-07 10:00:26+00:00,26.0,3196.98,3196.97,3197.2,ETH
2026-01-07 10:00:27+00:00,27.0,3196.98,3196.94,3197.02,ETH
2026-01-07 10:00:28+00:00,28.0,3196.52,3196.44,3196.55,ETH
2026-01-07 10:00:29+00:00,29.0,3196.1,3196.0,3196.15,ETH
