timestamp,collected_at,seconds,mid,bid,ask,asset
2026-01-06 03:10:26+00:00,2026-01-06 03:11:31.154326+00:00,626.0,93742.18,93738.8,93744.53,BTC
2026-01-06 03:10:27+00:00,2026-01-06 03:11:32.211336+00:00,627.0,93742.03,93738.61,93744.42,BTC
2026-01-06 03:10:28+00:00,2026-01-06 03:11:33.307499+00:00,628.0,93743.89,93741.09,93746.87,BTC
2026-01-06 03:10:29+00:00,2026-01-06 03:11:34.292186+00:00,629.0,93743.89,93741.09,93746.87,BTC
2026-01-06 03:10:30+00:00,2026-01-06 03:11:35.285970+00:00,630.0,93739.27,93736.1,93741.9,BTC
2026-01-06 03:10:31+00:00,2026-01-06 03:11:36.305770+00:00,631.0,93742.86,93739.48,93745.68,BTC
2026-01-06 03:10:32+00:00,2026-01-06 03:11:37.291708+00:00,632.0,93742.86,93739.48,93745.68,BTC
2026-01-06 03:10:33+00:00,2026-01-06 03:11:38.291573+00:00,633.0,93741.34,93738.01,93744.15,BTC
2026-01-06 03:10:34+00:00,2026-01-06 03:11:39.317911+00:00,634.0,93741.34,93738.01,93744.15,BTC
2026-01-06 03:10:35+00:00,2026-01-06 03:11:40.307548+00:00,635.0,93743.68,93739.4,93746.64,BTC
2026-01-06 03:10:36+00:00,2026-01-06 03:11:41.303368+00:00,636.0,93743.29,93739.4,93746.13,BTC
2026-01-06 03:10:37+00:00,2026-01-06 03:11:42.346289+00:00,637.0,93742.35,93738.48,93745.18,BTC
2026-01-06 03:10:38+00:00,2026-01-06 03:11:43.555957+00:00,638.0,93743.65,93740.3,93748.29,BTC
2026-01-06 03:10:39+00:00,2026-01-06 03:11:44.571259+00:00,639.0,93742.92,93739.14,93745.72,BTC
2026-01-06 03:10:40+00:00,2026-01-06 03:11:45.575510+00:00,640.0,93742.92,93739.13,93745.72,BTC
2026-01-06 03:10:41+00:00,2026-01-06 03:11:46.576289+00:00,641.0,93743.61,93739.9,93746.37,BTC
2026-01-06 03:10:42+00:00,2026-01-06 03:11:47.602613+00:00,642.0,93743.61,93739.9,93746.37,BTC
2026-01-06 03:10:43+00:00,2026-01-06 03:11:48.604059+00:00,643.0,93742.82,93739.13,93745.78,BTC
2026-01-06 03:10:44+00:00,2026-01-06 03:11:49.610117+00:00,644.0,93742.82,93739.13,93745.78,BTC
2026-01-06 03:10:45+00:00,2026-01-06 03:11:50.623740+00:00,645.0,93742.26,93738.56,93745.18,BTC
2026-01-06 03:10:46+00:00,2026-01-06 03:11:51.631055+00:00,646.0,93743.47,93739.79,93746.33,BTC
2026-01-06 03:10:47+00:00,2026-01-06 03:11:52.641298+00:00,647.0,93743.47,93739.79,93746.33,BTC
2026-01-06 03:10:48+00:00,2026-01-06 03:11:53.657592+00:00,648.0,93742.41,93738.51,93745.35,BTC
2026-01-06 03:10:49+00:00,2026-01-06 03:11:54.655610+00:00,649.0,93742.41,93738.51,93745.35,BTC
2026-01-06 03:10:50+00:00,2026-01-06 03:11:55.704143+00:00,650.0,93742.46,93738.68,93745.34,BTC
2026-01-06 03:10:51+00:00,2026-01-06 03:11:56.667004+00:00,651.0,93742.28,93738.51,93745.19,BTC
2026-01-06 03:10:52+00:00,2026-01-06 03:11:57.725274+00:00,652.0,93743.12,93739.17,93745.99,BTC
2026-01-06 03:10:53+00:00,2026-01-06 03:11:58.764847+00:00,653.0,93736.26,93734.12,93736.81,BTC
2026-01-06 03:10:54+00:00,2026-01-06 03:11:59.747248+00:00,654.0,93733.87,93729.82,93736.14,BTC
2026-01-06 03:10:55+00:00,2026-01-06 03:12:00.726026+00:00,655.0,93733.87,93729.82,93736.14,BTC
