timestamp,collected_at,seconds,mid,bid,ask,asset
2026-01-06 16:45:00+00:00,,0.0,ETH,3238.291,3238.13,16:45:00
2026-01-06 16:45:01+00:00,,1.0,ETH,3238.081,3237.98,16:45:01
2026-01-06 16:45:02+00:00,,2.0,ETH,3237.661,3237.56,16:45:02
2026-01-06 16:45:03+00:00,,3.0,ETH,3237.491,3237.33,16:45:03
2026-01-06 16:45:04+00:00,,4.0,ETH,3237.491,3237.19,16:45:04
2026-01-06 16:45:05+00:00,,5.0,ETH,3237.281,3237.05,16:45:05
2026-01-06 16:45:06+00:00,,6.0,ETH,3237.181,3237.13,16:45:06
2026-01-06 16:45:07+00:00,,7.0,ETH,3237.211,3237.09,16:45:07
2026-01-06 16:45:08+00:00,,8.0,ETH,3237.231,3237.12,16:45:08
2026-01-06 16:45:09+00:00,,9.0,ETH,3237.231,3237.08,16:45:09
2026-01-06 16:45:10+00:00,,10.0,ETH,3237.171,3236.68,16:45:10
2026-01-06 16:45:11+00:00,,11.0,ETH,3236.461,3235.95,16:45:11
2026-01-06 16:45:12+00:00,,12.0,ETH,3235.681,3235.46,16:45:12
2026-01-06 16:45:13+00:00,,13.0,ETH,3235.701,3235.62,16:45:13
2026-01-06 16:45:14+00:00,,14.0,ETH,3235.921,3235.89,16:45:14
2026-01-06 16:45:15+00:00,,15.0,ETH,3236.371,3236.21,16:45:15
2026-01-06 16:45:16+00:00,,16.0,ETH,3236.861,3236.67,16:45:16
2026-01-06 16:45:17+00:00,,17.0,ETH,3237.001,3236.9,16:45:17
2026-01-06 16:45:18+00:00,,18.0,ETH,3237.341,3237.21,16:45:18
2026-01-06 16:45:19+00:00,,19.0,ETH,3237.681,3237.55,16:45:19
2026-01-06 16:45:20+00:00,,20.0,ETH,3237.911,3237.6,16:45:20
2026-01-06 16:45:21+00:00,,21.0,ETH,3237.921,3237.67,16:45:21
2026-01-06 16:45:22+00:00,,22.0,ETH,3237.751,3237.32,16:45:22
2026-01-06 16:45:23+00:00,,23.0,ETH,3237.441,3237.22,16:45:23
2026-01-06 16:45:24+00:00,,24.0,ETH,3237.221,3237.14,16:45:24
2026-01-06 16:45:25+00:00,,25.0,ETH,3237.391,3237.28,16:45:25
2026-01-06 16:45:26+00:00,,26.0,ETH,3237.551,3237.3,16:45:26
2026-01-06 16:45:27+00:00,,27.0,ETH,3237.551,3237.23,16:45:27
2026-01-06 16:45:28+00:00,,28.0,ETH,3237.821,3237.71,16:45:28
2026-01-06 16:45:29+00:00,,29.0,ETH,3237.781,3237.71,16:45:29
2026-01-06 16:45:30+00:00,,30.0,ETH,3237.781,3237.62,16:45:30
2026-01-06 16:45:31+00:00,,31.0,ETH,3237.651,3237.59,16:45:31
2026-01-06 16:45:32+00:00,,32.0,ETH,3237.941,3237.53,16:45:32
2026-01-06 16:45:33+00:00,,33.0,ETH,3237.751,3237.67,16:45:33
2026-01-06 16:45:34+00:00,,34.0,ETH,3238.301,3238.23,16:45:34
2026-01-06 16:45:35+00:00,,35.0,ETH,3238.621,3238.11,16:45:35
2026-01-06 16:45:36+00:00,,36.0,ETH,3238.371,3238.29,16:45:36
2026-01-06 16:45:37+00:00,,37.0,ETH,3238.471,3238.14,16:45:37
2026-01-06 16:45:38+00:00,,38.0,ETH,3238.431,3238.01,16:45:38
2026-01-06 16:45:39+00:00,,39.0,ETH,3238.241,3237.97,16:45:39
2026-01-06 16:45:40+00:00,,40.0,ETH,3238.371,3238.18,16:45:40
2026-01-06 16:45:41+00:00,,41.0,ETH,3238.661,3238.22,16:45:41
2026-01-06 16:45:42+00:00,,42.0,ETH,3238.711,3238.09,16:45:42
2026-01-06 16:45:43+00:00,,43.0,ETH,3238.131,3238.08,16:45:43
2026-01-06 16:45:44+00:00,,44.0,ETH,3238.481,3238.32,16:45:44
2026-01-06 16:45:45+00:00,,45.0,ETH,3238.931,3238.87,16:45:45
2026-01-06 16:45:46+00:00,,46.0,ETH,3239.271,3239.01,16:45:46
2026-01-06 16:45:47+00:00,,47.0,ETH,3239.261,3239.01,16:45:47
2026-01-06 16:45:48+00:00,,48.0,ETH,3239.231,3238.82,16:45:48
2026-01-06 16:45:49+00:00,,49.0,ETH,3239.261,3239.0,16:45:49
2026-01-06 16:45:50+00:00,,50.0,ETH,3239.291,3239.1,16:45:50
2026-01-06 16:45:51+00:00,,51.0,ETH,3239.481,3239.1,16:45:51
2026-01-06 16:45:52+00:00,,52.0,ETH,3239.401,3239.31,16:45:52
2026-01-06 16:45:53+00:00,,53.0,ETH,3239.631,3239.5,16:45:53
2026-01-06 16:45:54+00:00,,54.0,ETH,3239.471,3239.39,16:45:54
2026-01-06 16:45:55+00:00,,55.0,ETH,3239.481,3239.4,16:45:55
2026-01-06 16:45:56+00:00,,56.0,ETH,3239.561,3239.4,16:45:56
2026-01-06 16:45:57+00:00,,57.0,ETH,3239.651,3239.27,16:45:57
2026-01-06 16:45:58+00:00,,58.0,ETH,3239.831,3239.48,16:45:58
2026-01-06 16:45:59+00:00,,59.0,ETH,3240.241,3239.99,16:45:59
2026-01-06 16:46:00+00:00,,60.0,ETH,3240.401,3239.96,16:46:00
2026-01-06 16:46:01+00:00,,61.0,ETH,3239.501,3239.1,16:46:01
2026-01-06 16:46:02+00:00,,62.0,ETH,3238.521,3238.24,16:46:02
2026-01-06 16:46:03+00:00,,63.0,ETH,3238.471,3238.23,16:46:03
2026-01-06 16:46:04+00:00,,64.0,ETH,3238.221,3238.05,16:46:04
2026-01-06 16:46:05+00:00,,65.0,ETH,3238.041,3237.87,16:46:05
2026-01-06 16:46:06+00:00,,66.0,ETH,3238.191,3238.05,16:46:06
2026-01-06 16:46:07+00:00,,67.0,ETH,3238.721,3238.64,16:46:07
2026-01-06 16:46:08+00:00,,68.0,ETH,3239.271,3239.12,16:46:08
2026-01-06 16:46:09+00:00,,69.0,ETH,3240.851,3240.73,16:46:09
2026-01-06 16:46:10+00:00,,70.0,ETH,3241.631,3241.54,16:46:10
2026-01-06 16:46:11+00:00,,71.0,ETH,3242.171,3242.0,16:46:11
2026-01-06 16:46:12+00:00,,72.0,ETH,3242.031,3241.69,16:46:12
2026-01-06 16:46:13+00:00,,73.0,ETH,3242.031,3241.83,16:46:13
2026-01-06 16:46:14+00:00,,74.0,ETH,3242.261,3241.75,16:46:14
2026-01-06 16:46:15+00:00,,75.0,ETH,3242.061,3241.75,16:46:15
2026-01-06 16:46:16+00:00,,76.0,ETH,3241.831,3241.7,16:46:16
