timestamp,collected_at,seconds,up_mid,up_best_bid,up_best_ask,down_mid,down_best_bid,down_best_ask,up_best_bid_size,up_best_ask_size,down_best_bid_size,down_best_ask_size
2026-01-06 07:00:00.456000+00:00,2026-01-06 07:00:00.643227+00:00,0.456,0.475,0.47,0.48,0.525,0.52,0.53,,,,
2026-01-06 07:00:01.521000+00:00,2026-01-06 07:00:01.646834+00:00,1.521,0.485,0.48,0.49,0.515,0.51,0.52,,,,
2026-01-06 07:00:02.511000+00:00,2026-01-06 07:00:02.645755+00:00,2.511,0.485,0.48,0.49,0.515,0.51,0.52,,,,
2026-01-06 07:00:03.398000+00:00,2026-01-06 07:00:03.641060+00:00,3.398,0.485,0.48,0.49,0.515,0.51,0.52,,,,
2026-01-06 07:00:04.508000+00:00,2026-01-06 07:00:04.644069+00:00,4.508,0.475,0.47,0.48,0.525,0.52,0.53,,,,
2026-01-06 07:00:05.501000+00:00,2026-01-06 07:00:05.660905+00:00,5.501,0.485,0.48,0.49,0.515,0.51,0.52,,,,
2026-01-06 07:00:06.557000+00:00,2026-01-06 07:00:06.678812+00:00,6.557,0.485,0.48,0.49,0.515,0.51,0.52,,,,
2026-01-06 07:00:07.568000+00:00,2026-01-06 07:00:07.692529+00:00,7.568,0.485,0.48,0.49,0.515,0.51,0.52,,,,
2026-01-06 07:00:08.424000+00:00,2026-01-06 07:00:08.691845+00:00,8.424,0.505,0.5,0.51,0.495,0.49,0.5,,,,
2026-01-06 07:00:09.557000+00:00,2026-01-06 07:00:09.709570+00:00,9.557,0.525,0.52,0.53,0.475,0.47,0.48,,,,
2026-01-06 07:00:10.501000+00:00,2026-01-06 07:00:10.710062+00:00,10.501,0.52,0.51,0.53,0.48,0.47,0.49,,,,
2026-01-06 07:00:11.563000+00:00,2026-01-06 07:00:11.709892+00:00,11.563,0.525,0.52,0.53,0.475,0.47,0.48,,,,
2026-01-06 07:00:12.558000+00:00,2026-01-06 07:00:12.724412+00:00,12.558,0.545,0.54,0.55,0.455,0.45,0.46,,,,
2026-01-06 07:00:13.592000+00:00,2026-01-06 07:00:13.726228+00:00,13.592,0.535,0.53,0.54,0.4649999999999999,0.46,0.47,,,,
2026-01-06 07:00:14.593000+00:00,2026-01-06 07:00:14.727421+00:00,14.593,0.555,0.55,0.56,0.455,0.45,0.46,,,,
2026-01-06 07:00:15.592000+00:00,2026-01-06 07:00:15.740513+00:00,15.592,0.525,0.52,0.53,0.47,0.46,0.48,,,,
2026-01-06 07:00:16.415000+00:00,2026-01-06 07:00:16.742519+00:00,16.415,0.53,0.52,0.54,0.4649999999999999,0.46,0.47,,,,
