timestamp,data_timestamp_raw,asset,mid,bid,ask,source,is_observed,collected_at
2026-01-06T02:45:46+00:00,02:45:46,SOL,137.6,137.59,137.61,dom,1,2026-01-06T02:46:54.733758+00:00
2026-01-06T02:45:47+00:00,02:45:46,SOL,137.59,137.58,137.6,dom,1,2026-01-06T02:46:54.920701+00:00
2026-01-06T02:45:48+00:00,02:45:46,SOL,137.56,137.55,137.57,dom,1,2026-01-06T02:46:56.728189+00:00
2026-01-06T02:45:49+00:00,02:45:46,SOL,137.56,137.55,137.57,dom,1,2026-01-06T02:46:56.967092+00:00
2026-01-06T02:45:50+00:00,02:45:46,SOL,137.55,137.54,137.55,dom,1,2026-01-06T02:46:58.891698+00:00
2026-01-06T02:45:51+00:00,02:45:46,SOL,137.54,137.53,137.55,dom,1,2026-01-06T02:47:00.001381+00:00
2026-01-06T02:45:52+00:00,02:45:46,SOL,137.54,137.53,137.55,dom,1,2026-01-06T02:47:00.968350+00:00
2026-01-06T02:45:53+00:00,02:45:46,SOL,137.53,137.52,137.55,dom,1,2026-01-06T02:47:01.955177+00:00
2026-01-06T02:45:54+00:00,02:45:46,SOL,137.53,137.52,137.54,dom,1,2026-01-06T02:47:02.966611+00:00
2026-01-06T02:45:55+00:00,02:45:46,SOL,137.53,137.52,137.55,dom,1,2026-01-06T02:47:05.023126+00:00
2026-01-06T02:45:56+00:00,02:45:46,SOL,137.53,137.52,137.54,dom,1,2026-01-06T02:47:06.243897+00:00
2026-01-06T02:45:57+00:00,02:45:46,SOL,137.53,137.52,137.55,dom,1,2026-01-06T02:47:08.105835+00:00
2026-01-06T02:45:58+00:00,02:45:46,SOL,137.53,137.52,137.54,dom,1,2026-01-06T02:47:09.135419+00:00
2026-01-06T02:45:59+00:00,02:45:46,SOL,137.53,137.52,137.54,dom,1,2026-01-06T02:47:10.145077+00:00
2026-01-06T02:46:00+00:00,02:45:46,SOL,137.53,137.52,137.54,dom,1,2026-01-06T02:47:11.147066+00:00
2026-01-06T02:46:01+00:00,02:45:46,SOL,137.53,137.52,137.54,dom,1,2026-01-06T02:47:12.188142+00:00
2026-01-06T02:46:02+00:00,02:45:46,SOL,137.53,137.52,137.54,dom,1,2026-01-06T02:47:13.253602+00:00
2026-01-06T02:46:03+00:00,02:45:46,SOL,137.53,137.52,137.55,dom,1,2026-01-06T02:47:14.267214+00:00
2026-01-06T02:46:04+00:00,02:45:46,SOL,137.53,137.52,137.55,dom,1,2026-01-06T02:47:15.276308+00:00
2026-01-06T02:46:05+00:00,02:45:46,SOL,137.53,137.52,137.56,dom,1,2026-01-06T02:47:16.269610+00:00
2026-01-06T02:46:06+00:00,02:45:46,SOL,137.54,137.52,137.56,dom,1,2026-01-06T02:47:17.285028+00:00
2026-01-06T02:46:07+00:00,02:45:46,SOL,137.54,137.53,137.55,dom,1,2026-01-06T02:47:18.289351+00:00
2026-01-06T02:46:08+00:00,02:45:46,SOL,137.54,137.53,137.55,dom,1,2026-01-06T02:47:19.293242+00:00
2026-01-06T02:46:09+00:00,02:45:46,SOL,137.54,137.53,137.55,dom,1,2026-01-06T02:47:20.389978+00:00
2026-01-06T02:46:10+00:00,02:45:46,SOL,137.54,137.53,137.55,dom,1,2026-01-06T02:47:21.403480+00:00
2026-01-06T02:46:11+00:00,02:45:46,SOL,137.54,137.53,137.55,dom,1,2026-01-06T02:47:22.441048+00:00
2026-01-06T02:46:12+00:00,02:45:46,SOL,137.54,137.53,137.56,dom,1,2026-01-06T02:47:23.422452+00:00
2026-01-06T02:46:13+00:00,02:45:46,SOL,137.54,137.53,137.56,dom,1,2026-01-06T02:47:24.439884+00:00
2026-01-06T02:46:14+00:00,02:45:46,SOL,137.54,137.53,137.56,dom,1,2026-01-06T02:47:25.453005+00:00
2026-01-06T02:46:15+00:00,02:45:46,SOL,137.54,137.53,137.56,dom,1,2026-01-06T02:47:26.490288+00:00
2026-01-06T02:46:16+00:00,02:45:46,SOL,137.54,137.53,137.56,dom,1,2026-01-06T02:47:27.501726+00:00
