timestamp,collected_at,seconds,up_mid,up_best_bid,up_best_ask,down_mid,down_best_bid,down_best_ask,up_best_bid_size,up_best_ask_size,down_best_bid_size,down_best_ask_size,up_bid_2,up_bid_2_size,up_ask_2,up_ask_2_size,down_bid_2,down_bid_2_size,down_ask_2,down_ask_2_size
2026-01-06 16:30:00.472835+00:00,2026-01-06 16:30:00.472835+00:00,0.472835,0.01,,0.01,0.99,0.99,,,27910.84,27909.57,,,,0.02,1172.99,0.98,1172.99,,
2026-01-06 16:30:01.508911+00:00,2026-01-06 16:30:01.508911+00:00,1.508911,0.01,,0.01,0.99,0.99,,,27910.84,27909.57,,,,0.02,1172.99,0.98,1172.99,,
2026-01-06 16:30:02.510537+00:00,2026-01-06 16:30:02.510537+00:00,2.510537,0.01,,0.01,0.99,0.99,,,27910.84,27909.57,,,,0.02,1172.99,0.98,1172.99,,
2026-01-06 16:30:03.537772+00:00,2026-01-06 16:30:03.537772+00:00,3.537772,0.01,,0.01,0.99,0.99,,,27910.84,27909.57,,,,0.02,1172.99,0.98,1172.99,,
2026-01-06 16:30:04.523745+00:00,2026-01-06 16:30:04.523745+00:00,4.523745,0.01,,0.01,0.99,0.99,,,27910.84,27909.57,,,,0.02,1172.99,0.98,1172.99,,
2026-01-06 16:30:05.546910+00:00,2026-01-06 16:30:05.546910+00:00,5.54691,0.01,,0.01,0.99,0.99,,,27910.84,27909.57,,,,0.02,1172.99,0.98,1172.99,,
2026-01-06 16:30:06.627864+00:00,2026-01-06 16:30:06.627864+00:00,6.627864,0.01,,0.01,0.99,0.99,,,27910.84,27909.57,,,,0.02,1172.99,0.98,1172.99,,
2026-01-06 16:30:07.522585+00:00,2026-01-06 16:30:07.522585+00:00,7.522585,0.01,,0.01,0.99,0.99,,,27910.84,27909.57,,,,0.02,1172.99,0.98,1172.99,,
2026-01-06 16:30:08.495659+00:00,2026-01-06 16:30:08.495659+00:00,8.495659,0.01,,0.01,0.99,0.99,,,27910.84,27909.57,,,,0.02,1172.99,0.98,1172.99,,
2026-01-06 16:30:09.527190+00:00,2026-01-06 16:30:09.527190+00:00,9.52719,0.01,,0.01,0.99,0.99,,,27910.84,27909.57,,,,0.02,1172.99,0.98,1172.99,,
2026-01-06 16:30:10.558293+00:00,2026-01-06 16:30:10.558293+00:00,10.558293,0.01,,0.01,0.99,0.99,,,27910.84,27909.57,,,,0.02,1172.99,0.98,1172.99,,
2026-01-06 16:30:11.578687+00:00,2026-01-06 16:30:11.578687+00:00,11.578687,0.01,,0.01,0.99,0.99,,,27910.84,27909.57,,,,0.02,1172.99,0.98,1172.99,,
2026-01-06 16:30:12.604217+00:00,2026-01-06 16:30:12.604217+00:00,12.604217,0.01,,0.01,0.99,0.99,,,27910.84,27909.57,,,,0.02,1172.99,0.98,1172.99,,
2026-01-06 16:30:13.584355+00:00,2026-01-06 16:30:13.584355+00:00,13.584355,0.01,,0.01,0.99,0.99,,,27910.84,27909.57,,,,0.02,1172.99,0.98,1172.99,,
2026-01-06 16:30:14.574705+00:00,2026-01-06 16:30:14.574705+00:00,14.574705,0.01,,0.01,0.99,0.99,,,27910.84,27909.57,,,,0.02,1172.99,0.98,1172.99,,
2026-01-06 16:30:15.616094+00:00,2026-01-06 16:30:15.616094+00:00,15.616094,0.01,,0.01,0.99,0.99,,,27910.84,27909.57,,,,0.02,1172.99,0.98,1172.99,,
2026-01-06 16:30:16.620519+00:00,2026-01-06 16:30:16.620519+00:00,16.620519,0.01,,0.01,0.99,0.99,,,27910.84,27909.57,,,,0.02,1172.99,0.98,1172.99,,
2026-01-06 16:30:17.623773+00:00,2026-01-06 16:30:17.623773+00:00,17.623773,0.01,,0.01,0.99,0.99,,,27910.84,27909.57,,,,0.02,1172.99,0.98,1172.99,,
2026-01-06 16:30:18.670765+00:00,2026-01-06 16:30:18.670765+00:00,18.670765,0.01,,0.01,0.99,0.99,,,27910.84,27909.57,,,,0.02,1172.99,0.98,1172.99,,
2026-01-06 16:30:19.767104+00:00,2026-01-06 16:30:19.767104+00:00,19.767104,0.01,,0.01,0.99,0.99,,,27910.84,27909.57,,,,0.02,1172.99,0.98,1172.99,,
2026-01-06 16:30:20.687034+00:00,2026-01-06 16:30:20.687034+00:00,20.687034,0.01,,0.01,0.99,0.99,,,27910.84,27909.57,,,,0.02,1172.99,0.98,1172.99,,
2026-01-06 16:30:21.684617+00:00,2026-01-06 16:30:21.684617+00:00,21.684617,0.01,,0.01,0.99,0.99,,,27910.84,27909.57,,,,0.02,1172.99,0.98,1172.99,,
2026-01-06 16:30:22.737741+00:00,2026-01-06 16:30:22.737741+00:00,22.737741,0.01,,0.01,0.99,0.99,,,27910.84,27909.57,,,,0.02,1172.99,0.98,1172.99,,
