timestamp,collected_at,seconds,up_mid,up_best_bid,up_best_ask,down_mid,down_best_bid,down_best_ask,up_best_bid_size,up_best_ask_size,down_best_bid_size,down_best_ask_size,up_bid_2,up_bid_2_size,up_ask_2,up_ask_2_size,down_bid_2,down_bid_2_size,down_ask_2,down_ask_2_size
2026-01-06 17:45:00.376000+00:00,2026-01-06 17:45:00.876416+00:00,0.376,0.555,0.55,0.56,0.445,0.44,0.45,59.44,100.0,100.0,59.44,0.54,191.0,0.57,85.0,0.43,85.0,0.46,191.0
2026-01-06 17:45:00.837000+00:00,2026-01-06 17:45:01.390942+00:00,0.837,0.555,0.55,0.56,0.445,0.44,0.45,9.44,100.0,100.0,9.44,0.54,211.0,0.57,85.0,0.43,85.0,0.46,273.0
2026-01-06 17:45:01.361000+00:00,2026-01-06 17:45:01.878405+00:00,1.361,0.555,0.55,0.56,0.445,0.44,0.45,9.44,106.19,126.19,9.44,0.54,298.0,0.57,95.0,0.43,95.0,0.46,298.0
2026-01-06 17:45:01.896000+00:00,2026-01-06 17:45:02.395314+00:00,1.896,0.555,0.55,0.56,0.445,0.44,0.45,7.21,258.19,319.19,7.21,0.54,298.0,0.57,212.0,0.43,273.0,0.46,435.0
2026-01-06 17:45:02.414000+00:00,2026-01-06 17:45:02.888295+00:00,2.414,0.545,0.54,0.55,0.455,0.45,0.46,290.21,127.0,188.0,229.21,0.53,397.49,0.56,289.19,0.44,289.19,0.47,417.49
2026-01-06 17:45:02.890000+00:00,2026-01-06 17:45:03.401203+00:00,2.89,0.54,0.53,0.55,0.45999999999999996,0.45,0.47,293.12,188.0,213.0,235.16,0.52,354.0,0.56,289.19,0.44,289.19,0.48,354.0
2026-01-06 17:45:03.403000+00:00,2026-01-06 17:45:03.890394+00:00,3.403,0.48,0.46,0.5,0.52,0.5,0.54,272.0,122.0,314.0,14.72,0.45,218.0,0.55,168.0,0.49,61.0,0.55,218.0
2026-01-06 17:45:03.902000+00:00,2026-01-06 17:45:04.399352+00:00,3.902,0.475,0.47,0.48,0.525,0.52,0.53,117.0,20.0,20.0,193.0,0.46,14.72,0.5,375.0,0.5,253.0,0.54,14.72
2026-01-06 17:45:04.432000+00:00,2026-01-06 17:45:04.900505+00:00,4.432,0.475,0.47,0.48,0.525,0.52,0.53,183.0,83.75,118.75,183.0,0.46,135.72,0.49,121.0,0.51,131.0,0.54,150.72
2026-01-06 17:45:04.911000+00:00,2026-01-06 17:45:05.400205+00:00,4.911,0.485,0.48,0.49,0.515,0.51,0.52,33.87,237.0,176.0,93.65,0.47,193.0,0.5,395.0,0.5,495.0,0.53,193.0
