timestamp,collected_at,seconds,up_mid,up_best_bid,up_best_ask,down_mid,down_best_bid,down_best_ask,up_best_bid_size,up_best_ask_size,down_best_bid_size,down_best_ask_size,up_bid_2,up_bid_2_size,up_ask_2,up_ask_2_size,down_bid_2,down_bid_2_size,down_ask_2,down_ask_2_size
2026-01-06 18:00:00.914000+00:00,2026-01-06 18:00:01.409676+00:00,0.914,0.565,0.55,0.58,0.43,0.42,0.44,432.35,9.5,9.5,5.0,0.54,243.14,0.59,5.0,0.4,110.0,0.45,432.35
2026-01-06 18:00:01.007000+00:00,2026-01-06 18:00:01.490240+00:00,1.007,0.5700000000000001,0.56,0.58,0.43,0.42,0.44,5.0,9.5,9.5,5.0,0.55,432.35,0.6,110.0,0.4,110.0,0.45,437.35
2026-01-06 18:00:01.944000+00:00,2026-01-06 18:00:02.424717+00:00,1.944,0.56,0.55,0.57,0.44,0.43,0.45,277.35,26.43,26.43,277.35,0.54,243.14,0.58,14.5,0.42,14.5,0.46,243.14
2026-01-06 18:00:02.004000+00:00,2026-01-06 18:00:02.503005+00:00,2.004,0.56,0.55,0.57,0.44,0.43,0.45,277.35,26.43,26.43,277.35,0.54,243.14,0.58,14.5,0.42,14.5,0.46,243.14
2026-01-06 18:00:02.933000+00:00,2026-01-06 18:00:03.437426+00:00,2.933,0.535,0.53,0.54,0.46499999999999997,0.46,0.47,565.89,157.6,157.6,481.84,0.52,2194.68,0.55,144.65,0.45,144.65,0.48,2194.68
2026-01-06 18:00:03.027000+00:00,2026-01-06 18:00:03.515614+00:00,3.027,0.535,0.53,0.54,0.46499999999999997,0.46,0.47,481.84,157.6,112.6,408.41,0.52,2194.68,0.55,144.65,0.45,139.65,0.48,2194.68
2026-01-06 18:00:03.954000+00:00,2026-01-06 18:00:04.445997+00:00,3.954,0.455,0.45,0.46,0.545,0.54,0.55,122.0,314.0,307.47,61.0,0.44,883.0,0.47,263.0,0.53,263.0,0.56,883.0
2026-01-06 18:00:04.030000+00:00,2026-01-06 18:00:04.530050+00:00,4.03,0.455,0.45,0.46,0.545,0.54,0.55,183.0,314.0,318.24,61.0,0.44,883.0,0.47,263.0,0.53,263.0,0.56,700.0
2026-01-06 18:00:04.963000+00:00,2026-01-06 18:00:05.458867+00:00,4.963,0.405,0.4,0.41,0.595,0.59,0.6,128.0,23.09,249.09,128.0,0.38,183.0,0.42,453.4,0.58,363.4,0.62,183.0
2026-01-06 18:00:05.048000+00:00,2026-01-06 18:00:05.537449+00:00,5.048,0.405,0.4,0.41,0.595,0.59,0.6,128.0,144.09,249.09,128.0,0.38,183.0,0.42,453.4,0.58,241.4,0.61,122.0
2026-01-06 18:00:05.984000+00:00,2026-01-06 18:00:06.469268+00:00,5.984,0.365,0.36,0.37,0.635,0.63,0.64,157.0,5.59,111.59,157.0,0.35,198.0,0.38,273.0,0.62,273.0,0.65,198.0
2026-01-06 18:00:06.067000+00:00,2026-01-06 18:00:06.539762+00:00,6.067,0.365,0.36,0.37,0.635,0.63,0.64,142.0,111.59,126.59,93.15,0.35,198.0,0.38,273.0,0.62,273.0,0.65,198.0
2026-01-06 18:00:06.967000+00:00,2026-01-06 18:00:07.471891+00:00,6.967,0.365,0.36,0.37,0.645,0.64,0.65,2.68,344.0,136.0,40.14,0.35,158.46,0.38,212.0,0.63,201.8,0.66,218.0
2026-01-06 18:00:07.079000+00:00,2026-01-06 18:00:07.558781+00:00,7.079,0.36,0.35,0.37,0.645,0.64,0.65,40.14,201.8,90.0,20.0,0.34,218.0,0.38,151.0,0.63,196.8,0.66,213.0
2026-01-06 18:00:08.013000+00:00,2026-01-06 18:00:08.492196+00:00,8.013,0.325,0.32,0.33,0.67,0.66,0.68,215.05,73.0,396.41,85.0,0.31,228.0,0.34,273.0,0.65,230.14,0.69,213.0
