timestamp,collected_at,seconds,up_mid,up_best_bid,up_best_ask,down_mid,down_best_bid,down_best_ask,up_best_bid_size,up_best_ask_size,down_best_bid_size,down_best_ask_size,up_bid_2,up_bid_2_size,up_ask_2,up_ask_2_size,up_bid_3,up_bid_3_size,up_ask_3,up_ask_3_size,up_bid_4,up_bid_4_size,up_ask_4,up_ask_4_size,up_bid_5,up_bid_5_size,up_ask_5,up_ask_5_size,up_bid_6,up_bid_6_size,up_ask_6,up_ask_6_size,down_bid_2,down_bid_2_size,down_ask_2,down_ask_2_size,down_bid_3,down_bid_3_size,down_ask_3,down_ask_3_size,down_bid_4,down_bid_4_size,down_ask_4,down_ask_4_size,down_bid_5,down_bid_5_size,down_ask_5,down_ask_5_size,down_bid_6,down_bid_6_size,down_ask_6,down_ask_6_size
2026-01-07 04:45:00.308000+00:00,2026-01-07 04:44:57.733050+00:00,0.308,0.01,,0.01,0.99,0.99,,,418.83,418.83,,,,0.02,147.19,,,0.09,30.0,,,0.1,1039.98,,,0.11,5.0,,,0.12,45.0,0.98,147.19,,,0.91,30.0,,,0.9,1039.98,,,0.89,5.0,,,0.88,45.0,,
2026-01-07 04:45:01.264000+00:00,2026-01-07 04:44:58.741111+00:00,1.264,0.01,,0.01,0.99,0.99,,,76339.54,76389.54,,,,0.02,122.19,,,0.09,30.0,,,0.1,9049.98,,,0.11,5.0,,,0.12,45.0,0.98,122.19,,,0.91,30.0,,,0.9,9049.98,,,0.89,5.0,,,0.88,45.0,,
2026-01-07 04:45:02.132000+00:00,2026-01-07 04:44:59.731296+00:00,2.132,0.01,,0.01,0.99,0.99,,,83144.32,83144.32,,,,0.02,122.19,,,0.09,30.0,,,0.1,9049.98,,,0.11,5.0,,,0.12,45.0,0.98,122.19,,,0.91,30.0,,,0.9,9049.98,,,0.89,5.0,,,0.88,45.0,,
2026-01-07 04:45:03.407000+00:00,2026-01-07 04:45:00.752359+00:00,3.407,0.55,0.54,0.56,0.45,0.44,0.46,148.26,10.0,10.0,148.26,0.53,795.21,0.57,163.0,0.52,2486.62,0.58,100.0,0.51,403.0,0.59,40.0,0.5,351.36,0.6,250.0,0.49,385.0,0.61,5.0,0.43,168.0,0.47,795.21,0.42,100.0,0.48,2486.62,0.41,40.0,0.49,403.0,0.4,250.0,0.5,351.36,0.39,5.0,0.51,385.0
2026-01-07 04:45:04.425000+00:00,2026-01-07 04:45:01.774237+00:00,4.425,0.55,0.54,0.56,0.45,0.44,0.46,95.86,111.0,126.0,110.86,0.53,795.21,0.57,110.0,0.52,2486.62,0.58,100.0,0.51,403.0,0.59,40.0,0.5,351.36,0.6,290.0,0.49,385.0,0.61,20.0,0.43,110.0,0.47,795.21,0.42,100.0,0.48,2486.62,0.41,40.0,0.49,403.0,0.4,290.0,0.5,351.36,0.39,20.0,0.51,385.0
2026-01-07 04:45:05.430000+00:00,2026-01-07 04:45:02.784796+00:00,5.43,0.535,0.53,0.54,0.46499999999999997,0.46,0.47,639.98,41.37,41.37,568.37,0.52,2186.62,0.55,50.0,0.51,403.0,0.56,121.0,0.5,366.36,0.57,95.0,0.49,450.0,0.58,100.0,0.48,65.0,0.59,40.0,0.45,50.0,0.48,2186.62,0.44,121.0,0.49,403.0,0.43,95.0,0.5,366.36,0.42,100.0,0.51,450.0,0.41,40.0,0.52,65.0
2026-01-07 04:45:06.448000+00:00,2026-01-07 04:45:03.791857+00:00,6.448,0.535,0.53,0.54,0.46499999999999997,0.46,0.47,389.11,205.37,210.37,389.11,0.52,2186.62,0.55,45.0,0.51,403.0,0.56,64.0,0.5,401.36,0.57,130.0,0.49,445.0,0.58,135.0,0.48,50.0,0.59,40.0,0.45,40.0,0.48,2186.62,0.44,64.0,0.49,403.0,0.43,130.0,0.5,351.36,0.42,135.0,0.51,435.0,0.41,40.0,0.52,80.0
2026-01-07 04:45:07.454000+00:00,2026-01-07 04:45:04.799694+00:00,7.454,0.555,0.55,0.56,0.445,0.44,0.45,48.78,236.0,211.0,28.82,0.53,394.11,0.57,40.0,0.52,2186.62,0.58,110.0,0.51,313.0,0.59,90.0,0.5,401.36,0.6,325.0,0.49,460.0,0.61,40.0,0.43,40.0,0.47,394.11,0.42,110.0,0.48,2186.62,0.41,90.0,0.49,313.0,0.4,325.0,0.5,401.36,0.39,40.0,0.51,430.0
2026-01-07 04:45:08.454000+00:00,2026-01-07 04:45:05.802623+00:00,8.454,0.535,0.53,0.54,0.46499999999999997,0.46,0.47,389.11,209.0,189.74,394.11,0.52,2186.62,0.55,55.0,0.51,363.0,0.56,79.0,0.5,411.36,0.57,40.0,0.49,445.0,0.58,135.0,0.48,65.0,0.59,55.0,0.45,55.0,0.48,2186.62,0.44,84.0,0.49,363.0,0.43,40.0,0.5,411.36,0.42,135.0,0.51,445.0,0.41,55.0,0.52,65.0
2026-01-07 04:45:09.244000+00:00,2026-01-07 04:45:06.804826+00:00,9.244,0.535,0.53,0.54,0.46499999999999997,0.46,0.47,399.11,177.33,177.33,469.11,0.52,2186.62,0.55,60.0,0.51,378.0,0.56,154.0,0.5,411.36,0.57,110.0,0.49,430.0,0.58,205.0,0.48,65.0,0.59,125.0,0.45,60.0,0.48,2256.62,0.44,154.0,0.49,378.0,0.43,110.0,0.5,411.36,0.42,205.0,0.51,430.0,0.41,125.0,0.52,135.0
