timestamp,collected_at,seconds,up_mid,up_best_bid,up_best_ask,down_mid,down_best_bid,down_best_ask,up_best_bid_size,up_best_ask_size,down_best_bid_size,down_best_ask_size,up_bid_2,up_bid_2_size,up_ask_2,up_ask_2_size,down_bid_2,down_bid_2_size,down_ask_2,down_ask_2_size
2026-01-06 17:15:00.823000+00:00,2026-01-06 17:15:01.311503+00:00,0.823,0.56,0.54,0.58,0.44,0.42,0.46,50.0,5.0,5.0,50.0,0.53,5.0,0.59,10.0,0.41,10.0,0.47,5.0
2026-01-06 17:15:00.823000+00:00,2026-01-06 17:15:01.391421+00:00,0.823,0.56,0.54,0.58,0.435,0.41,0.46,50.0,5.0,5.0,50.0,0.53,5.0,0.59,10.0,0.4,299.0,0.47,5.0
2026-01-06 17:15:01.813000+00:00,2026-01-06 17:15:02.330112+00:00,1.813,0.575,0.55,0.6,0.41500000000000004,0.4,0.43,91.0,299.0,299.0,5.0,0.54,50.0,0.61,5.0,0.39,5.0,0.45,91.0
2026-01-06 17:15:01.899000+00:00,2026-01-06 17:15:02.392527+00:00,1.899,0.585,0.57,0.6,0.41500000000000004,0.4,0.43,5.0,299.0,299.0,5.0,0.55,91.0,0.61,5.0,0.39,5.0,0.45,91.0
2026-01-06 17:15:02.829000+00:00,2026-01-06 17:15:03.332120+00:00,2.829,0.585,0.58,0.59,0.415,0.41,0.42,193.0,51.0,112.0,188.0,0.57,304.0,0.6,477.36,0.4,477.36,0.43,304.0
2026-01-06 17:15:02.829000+00:00,2026-01-06 17:15:03.400087+00:00,2.829,0.585,0.58,0.59,0.415,0.41,0.42,193.0,51.0,112.0,309.0,0.57,304.0,0.6,477.36,0.4,117.36,0.43,309.0
2026-01-06 17:15:03.783000+00:00,2026-01-06 17:15:04.332600+00:00,3.783,0.595,0.59,0.6,0.405,0.4,0.41,193.0,56.36,31.36,138.12,0.58,309.0,0.61,5.0,0.39,25.0,0.42,304.0
2026-01-06 17:15:03.908000+00:00,2026-01-06 17:15:04.400976+00:00,3.908,0.595,0.59,0.6,0.405,0.4,0.41,193.0,36.36,31.36,138.12,0.58,309.0,0.61,25.0,0.39,25.0,0.42,304.0
2026-01-06 17:15:04.906000+00:00,2026-01-06 17:15:05.352370+00:00,4.906,0.6,0.59,0.61,0.385,0.38,0.39,188.04,5.0,15.0,142.0,0.58,304.0,0.62,18.97,0.36,45.0,0.4,136.0
2026-01-06 17:15:04.939000+00:00,2026-01-06 17:15:05.402406+00:00,4.939,0.615,0.61,0.62,0.37,0.36,0.38,117.0,18.97,40.0,15.0,0.6,15.0,0.63,15.0,0.35,319.0,0.39,258.0
2026-01-06 17:15:05.912000+00:00,2026-01-06 17:15:06.364780+00:00,5.912,0.645,0.64,0.65,0.355,0.35,0.36,124.66,30.0,30.0,124.66,0.63,193.0,0.66,40.0,0.34,40.0,0.37,193.0
2026-01-06 17:15:05.954000+00:00,2026-01-06 17:15:06.415918+00:00,5.954,0.645,0.64,0.65,0.355,0.35,0.36,124.66,30.0,60.0,111.66,0.63,193.0,0.66,40.0,0.34,127.0,0.37,178.0
2026-01-06 17:15:06.898000+00:00,2026-01-06 17:15:07.376514+00:00,6.898,0.62,0.61,0.63,0.38,0.37,0.39,149.0,55.0,65.0,149.0,0.6,48.99,0.64,324.0,0.36,324.0,0.4,48.99
2026-01-06 17:15:06.931000+00:00,2026-01-06 17:15:07.414348+00:00,6.931,0.62,0.61,0.63,0.38,0.37,0.39,149.0,55.0,65.0,149.0,0.6,48.99,0.64,324.0,0.36,324.0,0.4,48.99
2026-01-06 17:15:07.916000+00:00,2026-01-06 17:15:08.396853+00:00,7.916,0.615,0.61,0.62,0.395,0.39,0.4,38.8,115.0,20.0,88.99,0.6,108.99,0.63,167.0,0.38,95.0,0.41,143.04
2026-01-06 17:15:07.935000+00:00,2026-01-06 17:15:08.412223+00:00,7.935,0.615,0.61,0.62,0.395,0.39,0.4,38.8,115.0,20.0,88.99,0.6,108.99,0.63,167.0,0.38,95.0,0.41,143.04
2026-01-06 17:15:08.915000+00:00,2026-01-06 17:15:09.402941+00:00,8.915,0.61,0.6,0.62,0.39,0.38,0.4,99.86,55.0,90.0,69.86,0.59,163.04,0.63,157.0,0.37,193.0,0.41,178.04
2026-01-06 17:15:08.950000+00:00,2026-01-06 17:15:09.418994+00:00,8.95,0.61,0.6,0.62,0.39,0.38,0.4,104.86,55.0,90.0,69.86,0.59,163.04,0.63,157.0,0.37,193.0,0.41,178.04
2026-01-06 17:15:09.920000+00:00,2026-01-06 17:15:10.406173+00:00,9.92,0.595,0.59,0.6,0.415,0.41,0.42,15.0,91.0,5.0,50.0,0.58,85.0,0.61,419.0,0.4,211.0,0.43,72.0
2026-01-06 17:15:09.960000+00:00,2026-01-06 17:15:10.423173+00:00,9.96,0.59,0.58,0.6,0.415,0.41,0.42,75.0,111.0,5.0,50.0,0.57,15.0,0.61,419.0,0.4,211.0,0.43,72.0
2026-01-06 17:15:10.665000+00:00,2026-01-06 17:15:11.415573+00:00,10.665,0.585,0.58,0.59,0.415,0.41,0.42,55.0,5.0,35.0,20.0,0.57,107.0,0.6,228.0,0.4,193.0,0.43,147.0
2026-01-06 17:15:10.958000+00:00,2026-01-06 17:15:11.432717+00:00,10.958,0.585,0.58,0.59,0.42,0.41,0.43,55.0,5.0,55.0,162.0,0.57,107.0,0.6,228.0,0.4,208.0,0.44,265.0
2026-01-06 17:15:11.989000+00:00,2026-01-06 17:15:12.443096+00:00,11.989,0.585,0.58,0.59,0.415,0.41,0.42,50.0,38.0,33.0,50.0,0.57,94.33,0.6,241.0,0.4,241.0,0.43,99.33
2026-01-06 17:15:11.962000+00:00,2026-01-06 17:15:12.428600+00:00,11.962,0.585,0.58,0.59,0.415,0.41,0.42,55.0,38.0,33.0,50.0,0.57,94.33,0.6,241.0,0.4,241.0,0.43,99.33
2026-01-06 17:15:12.861000+00:00,2026-01-06 17:15:13.442999+00:00,12.861,0.585,0.58,0.59,0.415,0.41,0.42,60.0,33.0,20.0,60.0,0.57,130.33,0.6,241.0,0.4,134.0,0.43,323.33
2026-01-06 17:15:12.861000+00:00,2026-01-06 17:15:13.450607+00:00,12.861,0.585,0.58,0.59,0.415,0.41,0.42,60.0,33.0,20.0,60.0,0.57,130.33,0.6,241.0,0.4,134.0,0.43,323.33
